,product_name,seller,price,category
0,Women's One PCE Missy Mock Solid Jacket and Printed Dress,R&M Richards,46.73,dresses
1,"Elegant Dresses, Womens Casual Dress A Line Cap Sleeve V Neck",Laksmi,10.49,dresses
2,"Laksmi Sun Women Dresses Evening, Flared Plus Size Midi Dress Sundress,XX-Large All Black",Lotusmile,10.8,dresses
3,"Laksmi Dress for Women Elegant, Floral Patchwork Casual Dress A Line Cap Sleeve Sexy V Neck,Multcolor Blue Medium",Lotusmile,23.17,dresses
4,"Laksmi Retro Dresses, Floral Patchwork Casual Dress A Line Cap Sleeve V Neck,Multcolor Blue Small",Lotusmile,22.87,dresses
5,"Laksmi Elegant Dresses, Womens Casual Dress A Line Cap Sleeve V Neck (Blue Black, X-Large)",Lotusmile,24.07,dresses
6,"Laksmi Elegant Dresses, Womens Casual Dress A Line Cap Sleeve V Neck (Blue Black, XX-Large)",Lotusmile,23.87,dresses
7,"Laksmi Elegant Dresses, Womens Casual Dress A Line Cap Sleeve V Neck (XX-Large, Orange)",Lotusmile,15.69,dresses
8,"Laksmi Elegant Dresses, Womens Casual Dress A Line Cap Sleeve V Neck (Black Green, Large)",Lotusmile,28.99,dresses
9,"Laksmi Elegant Dresses, Womens Casual Dress A Line Cap Sleeve V Neck (Black Green, Medium)",Lotusmile,28.99,dresses
10,"Laksmi Elegant Dresses, Womens Casual Dress A Line Cap Sleeve V Neck (Black Green, X-Large)",Lotusmile,28.99,dresses
11,Women's Casual Loose Pocket Long Dress Short Sleeve Split Maxi Dresses,GRECERELLE,16.99,dresses
12,Women's Short Sleeve Loose Plain Maxi Dresses Casual Long Dresses with Pockets,Viishow,16.99,dresses
13,Women's Sleeveless Racerback and Long Sleeve Loose Plain Maxi Dresses Casual Long Dresses with Pockets,GRECERELLE,16.99,dresses
14,Women's Vintage Patchwork Pockets Puffy Swing Casual Party Dress OX165,oxiuly,29.96,dresses
15,Women's Casual Plain Short Sleeve Simple T-Shirt Loose Dress,MOLERANI,12.98,dresses
16,Women's Button up Split Floral Print Flowy Party Maxi Dress,Milumia,15.99,dresses
17,Boatneck Sleeveless Vintage Tea Dress Belt,,19.99,dresses
18,Women's Elegant Short Sleeve Wear to Work Casual Pencil Dress with Belt,Longwu,18.99,dresses
19,Women's Vintage Floral Lace Boat Neck Cocktail Formal Swing Dress,MissMay,19.99,dresses
20,Women's Dresses-Summer Floral Bohemian Spaghetti Strap Button Down Swing Midi Dress Pockets,Angashion,9.99,dresses
21,Women's Sleeveless Loose Plain Dresses Casual Short Dress with Pockets,Unbranded*,13.99,dresses
22,Women's Retro 1950s Style Sleeveless Slim Business Pencil Dress,MUXXN,29.99,dresses
23,Women's Long Sleeve Casual Loose T-Shirt Dress,DEARCASE,9.99,dresses
24,Women's Short Sleeve Pleated Loose Swing Casual Dress with Pockets Knee Length,AUSELILY,14.99,dresses
25,Womens Off The Shoulder Short Sleeve High Low Cocktail Skater Dress,Sarin Mathews,12.99,dresses
26,Women's Long Sleeve Pocket Casual Loose T-Shirt Dress,Unbranded*,11.99,dresses
27,Women's Deep V Neck Adjustable Spaghetti Straps Summer Dress Sleeveless Sexy Backless Party Dresses with Pocket,Eliacher,29.87,dresses
28,Women's Dresses-Short Sleeve V Neck Button T Shirt Midi Skater Dress Pockets,Angashion,3.99,dresses
29,Women Summer Pleated Polka Dot Pocket Loose Swing Casual Midi Dress,Simier Fariry,16.99,dresses
30,Women Short Sleeve Round Neck Summer Casual Flared Midi Dress,HUHOT,12.99,dresses
31,Women Bohemian Neck Tie Vintage Printed Ethnic Style Summer Shift Dress,Urban CoCo,15.85,dresses
32,Womens Summer Contrast Sleeveless Tank Top Floral Print Maxi Dress,Zattcas,19.99,dresses
33,Women's Summer Casual Plain Flowy Pockets Loose Beach Cami Maxi Dress,CALIPESSA,16.97,dresses
34,Women's Ruched Casual Sundress Midi Bodycon Sheath Dress,Missufe,19.99,dresses
35,Women's Short Sleeve Loose Plain Maxi Dresses Casual Long Dresses With Pockets,,16.99,dresses
36,Women's Sleeveless Pockets Casual Swing T-Shirt Dresses,AUSELILY,14.99,dresses
37,Women's Button up Split Floral Print Flowy Party Maxi Dress,Milumia,18.99,dresses
38,Women Short Sleeve Loose Plain Maxi Dresses Casual Long Dresses with Pockets,DEARCASE,16.99,dresses
39,Women's Summer Cold Shoulder Tunic Top Swing T-Shirt Loose Dress with Pockets,QIXING,18.99,dresses
40,Women's Elegant Spaghetti Straps Deep V Neck Sleeveless Bodycon Party Dress,Zalalus,19.96,dresses
41,Women Short Sleeve Loose Plain Casual Plus Size Long Maxi Dress with Pockets,Nemidor,21.99,dresses
42,Womens Dresses Summer Casual V-Neck Floral Print Geometric Pattern Belted Dress,ECOWISH,18.99,dresses
43,Womens Dresses Summer Tie Front V-Neck Spaghetti Strap Button Down A-Line Backless Swing Midi Dress,ECOWISH,6.99,dresses
44,Women Off Shoulder Ruffles Bodycon Mini Dress,Sidefeel,19.99,dresses
45,Womens Off The Shoulder Ruffle Party Dresses Side Split Beach Maxi Dress,THANTH,15.99,dresses
46,Women's Casual Short Sleeve Slit Solid Party Summer Long Maxi Dress,Yidarton,9.99,dresses
47,Women's Summer Casual Sleeveless Floral Printed Swing Dress Sundress with Pockets,ETCYY,15.99,dresses
48,Women's Summer Boho Polka Dot Sleeveless V Neck Swing Midi Dress Pockets,MITILLY,18.99,dresses
49,Women's Casual Swing Simple T-Shirt Loose Dress,MOLERANI,12.99,dresses
50,Women's Criss-Cross Necklines V-Neck Cap Sleeve Floral Casual Work Stretch Swing Summer Dress OX233,oxiuly,18.99,dresses
51,Women's Maxi Dress Floral Printed Autumn 3/4 Sleeve Casual Tunic Long Maxi Dress,DUNEA,15.99,dresses
52,Women's Vintage Floral Lace Sleeveless Hi-Lo Cocktail Formal Swing Dress,MUADRESS,28.69,dresses
53,Women's Scoop Neck Pockets High Low Pleated Loose Swing Casual Midi Dress,levaca,16.99,dresses
54,Women Vintage 1950s Retro Rockabilly Prom Dresses Cap-Sleeve,Dressystar,18.99,dresses
55,Women's Deep V Neck Short Sleeve Unique Cross Wrap Casual Flared Midi Dress,MSBASIC,12.99,dresses
