,product_name,seller,price,category
0,Buttery Soft Basic Solid 45 COLORS Best Seller Leggings Pants Carry 1000+ Print Designs,Leggings Depot,8.85,leggings
1,Satina High Waisted Leggings - 25 Colors - Super Soft Full Length Opaque Slim,,9.99,leggings
2,Buttery Soft Basic Solid 36+ Colors Women's Capri Leggings,Leggings Depot,7.99,leggings
3,Extra Soft Capri Leggings with High Wast - 20 Colors - Plus,LMB,9.99,leggings
4,Extra Soft Capri Leggings with High Yoga Waist - 20 Colors - Plus,LMB,10.99,leggings
5,Women's Denim Leggings Pockets,,14.97,leggings
6,Premium Ultra Soft High Waist Leggings - Regular and Plus Size - Many Colors,Conceited,7.95,leggings
7,SATINA High Waisted Super Soft Capri Leggings - 20 Colors - Reg & Plus Size,,9.99,leggings
8,Extra Soft Leggings with High Yoga Waist - 20 Colors - Plus,LMB,7.99,leggings
9,Women's Jean Look Jeggings Tights Slimming Many Colors Spandex Leggings Pants Capri S-XXXL,Prolific Health,11.45,leggings
10,Women's Ultra Soft Printed Fashion Leggings BAT1,Leggings Depot,11.99,leggings
11,Women's Ultra Soft Halloween Printed Fashion Leggings,Leggings Depot,11.99,leggings
12,Regular/Plus (XS-5XL) Solid Buttery Soft High Waist Always Leggings,Leggings Mania,4.9,leggings
13,Popular Printed Brushed Buttery Soft Leggings Regular and Plus 40+ Designs List 1,VIV Collection,9.99,leggings
14,Women's Ultra Thin Stretch Short Leggings,Liang Rou,7.0,leggings
15,Yoga Waist REG/Plus Women's Buttery Soft Workout Gym Leggings,Leggings Depot,9.99,leggings
16,Yoga Waist REG/Plus Women's Buttery Soft Workout Gym Leggings,Leggings Depot,11.99,leggings
17,Yoga Waist REG/Plus Women's Buttery Soft Workout Gym Leggings,Leggings Depot,11.99,leggings
18,Popular Printed Brushed Buttery Soft Leggings Regular and Plus 40+ Designs List 5,VIV Collection,9.99,leggings
19,"Women's Essential Denim Leggings,",,19.99,leggings
20,Women's Workout Leggings Running Tights Yoga Pants,Sugar Pocket,13.99,leggings
21,Maternity Pregnant Women Leggings,Mothers Essentials,13.95,leggings
22,Women's Faux Leather Leggings,,80.63,leggings
23,Lush Moda Extra Soft Leggings - Many Colors,LMB,7.99,leggings
24,Women's Basic Five Pocket Stretch Jegging Tights Pants,Yelete,5.5,leggings
25,Higher Waist Women's Buttery Soft Solid Yoga Capri Leggings - Many Colors,Leggings Depot,9.99,leggings
26,Women's Printed Leggings Full-Length Regular Size Yoga Workout Leggings Pants Soft Capri L1,Ndoobiy,9.0,leggings
27,Fleece Lined Leggings High Waist Compression Slimming Warm - Many Colors,,4.99,leggings
28,Long Open Front Lightweight Cardigan Sweaters Regular Plus Size,EttelLut,13.99,leggings
