,product_name,seller,price,category
0,Women's Regular Inseam Halle Pant,,48.33,pants
1,Women's Relaxed Fit All Day Straight Leg Pant,,9.95,pants
2,Women's Ease In To Comfort Fit Barely Bootcut Stretch Pants,Rekucci,32.99,pants
3,Women's Summer Casual Pajama Pants Floral Print Drawstring Palazzo Lounge Pants Wide Leg,AMiERY,12.99,pants
4,Women's Skinny Stretch Jegging,,20.0,pants
5,Women's Flat Front Stretch Twill Pant,,19.5,pants
6,Womens Hyper Ultra Stretch Comfy Skinny Pants,HyBrid & Company,9.99,pants
7,Womens Super Stretch Comfy Skinny Pants P44876SKX RED 2X,HyBrid & Company,24.99,pants
8,Women's Ease in to Comfort Boot Cut Pant,Rekucci,29.99,pants
9,New Women's Straight Fit Trouser Pants | 4 Styles Long/Short/Capri/Ankle,VIV Collection,19.99,pants
10,Women's Straight-Fit Stretch Twill Chino Pant,,20.0,pants
11,Women's Comfy Stretch Floral Print Drawstring Palazzo Wide Leg Lounge Pants,iChunhua,13.99,pants
12,Women's Ease in to Comfort Straight Leg Pant with Tummy Control,Rekucci,32.99,pants
13,Women's Ease In To Comfort Fit Capri with Button Detail,Rekucci,28.99,pants
14,Women's Stretchy Wide Leg Palazzo Lounge Pants,Arolina,14.99,pants
15,Bootcut Dress Pants Women -Stretch Comfy Work Pull on Womens Pant,Red Hanger,19.45,pants
16,Women's Jersey Capri,,10.85,pants
17,Premium Women's Stretch Dress Pants - Slim Or Bootcut - All Day Comfort in Solids and Pinstripes by,Conceited,19.95,pants
18,Women Super Comfy Stretch Pull-on Business Millennium Pants,HyBrid & Company,23.99,pants
19,New York Women's All Around Comfort Pant,Briggs,19.99,pants
20,Junior's Worker Bootcut Pant with 2 Back Pockets,,11.95,pants
21,Women's Pants Trouser Slim Casual Cropped Paper Bag Waist Pants with Pockets,,18.99,pants
22,Women's Comfy Stretch Floral Print High Waist Drawstring Palazzo Wide Leg Pants,NEWCOSPLAY,12.99,pants
23,Womens Casual Loose Plus Size Elastic Waist Cotton Trouser Cropped Wide Leg Pants,Ecupper,24.98,pants
24,Womens Straight Leg Dress Pants - Stretch Slim Fit Pull On Style,Velucci,21.99,pants
25,Women's Summer Pants High Waisted Wide Leg Casual Floral Print Lounge Pants Trousers,AMiERY,12.99,pants
26,Women's Relaxed-Fit Austyn Knit-Waist Cargo Capri Pant,,22.5,pants
27,Womens Knit Capri Culottes Pants - Made in USA,Made By Johnny,11.17,pants
28,Women's Midrise Fit Essential Chino Pant,,16.28,pants
29,Women's Plus Size Relaxed Fit All Day Straight Leg Pant,,24.99,pants
30,Women's Sierra Point 31-Inch Inseam Convertible Pant,White Sierra,27.95,pants
31,Women's Basic Five Pocket Stretch Jegging Tights Pants,Yelete,5.5,pants
32,Womens Boho Comfy Stretchy Bell Bottom Flare Pants,Fashionomics,14.99,pants
33,Juniors' Oceanside Soft Pant,,24.69,pants
34,Women's Relaxed Straight Stretch Twill Pant,,21.99,pants
35,Curvy Woman Ease in to Comfort Fit Barely Bootcut Plus Size Pant,Rekucci,39.99,pants
36,Women's High Waist Casual Floral Print Drawstring Wide Leg Pants,Angashion,3.99,pants
37,Women's Essentials Collection Relaxed Drawstring Scrub Pant,Urbane,9.15,pants
38,Women's High Rise Slim Fit Color Jogger Pants with Matching Belt - Size Small to 3X,TwiinSisters,19.99,pants
39,Women's Ease in to Comfort Modern Stretch Skinny Pant w/Tummy Control,Rekucci,34.99,pants
40,Women's Ease In To Comfort Fit Stretch Slim Pant,Rekucci,32.99,pants
41,Active Women's Cargo Lightweight Woven Capri Pant,RBX,24.94,pants
42,Women's Ultra Legging with Wide Waistband,,23.62,pants
43,Womens Comfy Chic Palazzo Lounge Pant - Made in USA,Made By Johnny,9.95,pants
44,Women's Relaxed Fit Straight Leg Cargo Pant,,29.99,pants
45,Women's Rayon Print Smocked Waist Boho Harem Pants,Lofbaz,4.18,pants
46,Bohemian Elephant Harem Loose Yoga Travel Lounge Festival Beach Pants,JOOP JOOP,9.95,pants
47,"Womens Dri-More Core Bootcut Pants (Small, Black Soot)",Danskin Now,23.0,pants
48,Women's Wide Band Pull-On Straight Leg Pant with Tummy Control,SLIM-SATION,43.05,pants
49,Women's Elastic Waist Jersey Culottes Pants,iconic luxe,14.99,pants
50,Wide Leg High Fold Over Waist Palazzo Pants,Superline,7.16,pants
51,Scrubs Women's Break On Through heart Breaker Low Rise Drawstring Pant,HeartSoul,14.95,pants
52,Womens Dress Pant Pull On Stretch Trousers for Work & Casual Wear,MOVING DEVICE,24.99,pants
53,Women's Juniors Soft Jogger Pants,Ambiance,11.95,pants
54,Women's Plus Size 7-Day Knit Straight Leg Pant,,16.99,pants
55,Women's Slim Straight Leg Stretch Casual Pants with Pockets,Simplee Apparel,19.99,pants
56,Women's Curvy Fit Gabardine Boot Leg Trouser,,29.98,pants
57,Womens Comfy Chic Solid Tie-Dye Palazzo Pants - Made in USA,Made By Johnny,12.56,pants
58,Women's Outdoor Quick Dry Cargo Pants Convertible Hiking Camping Fishing Zip Off Stretch Trousers #5818,Jessie Kidden,18.99,pants
59,Women's Eased Fit Tailored Chino Pant,,19.83,pants
60,Millennium Ankle Pant,89th & Madison,24.99,pants
61,Women's Easy-Fit Elastic Waist Pull-On Capri Pant,,16.99,pants
62,Women's Ease in to Comfort Slim Ankle Pant with Snaps,Rekucci,31.99,pants
63,Women's Boho Solid Hippie Wide Leg Flared Bell Bottom Pants,Vivicastle,17.95,pants
64,Womens Classic Fit Capri Pants - Pull On Style Capris with Detailed Design,Velucci,27.99,pants
65,Women's Modern Series Curvy Fit Maxwell Trouser,,11.99,pants
66,Women's Twill Jogger Pants,Red Fox,15.99,pants
67,Women's Smart Desk to Dinner Stretch Bootcut Pant w/Tummy Control,Rekucci,36.99,pants
68,Women's Linen Pants Lantern Tapered Elastic Waist Cropped Pants Trousers with Pockets Casual Capri Pants,IXIMO,29.99,pants
69,Women's Temp Control Cotton Capri Leggings,,14.0,pants
70,Women's Plus-Size Curvy-Fit Gabardine Bootcut Trouser,,32.5,pants
71,Print Brushed Ultra Soft Cropped Capri Leggings Regular and Plus (Sizes XS - 2XL) Listing 1,VIV Collection,10.99,pants
72,Satina High Waisted Flare Palazzo Wide Leg Pants | Printed & Solid | reg & Plus,,9.99,pants
73,Women's Casual Loose High Waist Stretchy Skinny Slim Long Pants,BerryGo,19.99,pants
74,Women's Seamless Camo Leggings,,40.11,pants
75,Women's Ponte Trouser,,90.99,pants
76,Women's Lightweight 24-7 Tactical Pant (Various Colors and Sizes),Tru-Spec,21.72,pants
77,Women's Wide Band Pull On Ankle Pant with Tummy Control,SLIM-SATION,40.25,pants
78,"Women's Relaxed Fit Skye Knit Waist Cargo Capri Pant,",,27.92,pants
79,Women's Plus Size Premium Modal Rayon Softest Ever Palazzo Solid Stretchy Knit Pants Made in USA with Premium...,Stylzoo,24.85,pants
80,Women's Plus Size 7-Day Knit Wide Leg Pant,,18.89,pants
81,Women's Casual Loose Fit Camouflage Multi Pockets Cargo Pants,MUST WAY,34.99,pants
82,Women's Eds Signature Mid Rise Drawstring Cargo Pant,,12.71,pants
83,Women's Ease in to Comfort Fit Modern Classic Cuffed Capri,Rekucci,31.99,pants
84,Women's Curvy Straight Leg Stretch Twill Pant,,24.19,pants
85,Women's Relaxed Fit Capri Pant,,19.99,pants
86,Womens Pleated Wide Leg Palazzo Pants with Elastic Band,Made By Johnny,17.54,pants
87,Five Pocket Stretch Straight Leg Pants,89th&Madison,21.99,pants
88,Womens Cotton Linen Loose Fit Elastic Waist Harm Pant,Soojun,13.99,pants
89,Women's Full Leg Roll-Up Aruba Pant,,22.5,pants
90,Women's Secret Figure Pull-On Knit Bootcut Pant w/Tummy Control,Rekucci,39.99,pants
91,Women's Fold-Over Waist Linen Pants,Love Tree,11.85,pants
92,Women's Plus Size Petite 7-Day Knit Straight Leg Pant,,17.99,pants
93,"Women's Layered Wide Leg Flowy Cropped Palazzo Pants, 3/4 Length High Waist Palazzo Wide Legs Capri Pants",Ladybug,20.03,pants
94,Women's Premium Relaxed Straight Cargo Pants,,29.15,pants
95,Women's J2 Love Flowing Palazzo Pants,Cemi Ceri,22.99,pants
96,Women's High Waist Pull-On Skinny Super Stretchy Jeggings & Capris Regular & Plus Size,Jvini,7.99,pants
97,Wmens Super Comfy Flat Front Stretch Trousers Pants,HyBrid & Company,13.99,pants
98,Women's Linen Drawstring Pants,Love Tree,13.49,pants
99,Women's Peacock Print Aladdin Harem Hippie Pants Jumpsuit,Banjamath®,15.95,pants
100,Womens Aphrodite 2.0 Pant,,52.45,pants
101,Women's Drawstring Waist Striped Side Jogger Sweatpants with Pocket,SweatyRocks,16.99,pants
102,Super Comfy Stretch Pull on Business Millennium Pants with Prints,HyBrid & Company,9.99,pants
103,Women's Secret Figure Pull-On Knit Straight Pant w/Tummy Control,Rekucci,39.99,pants
104,Women's Classic-Fit Suit Pant,,49.99,pants
105,"Women's Comfort Fit Flex Stretch Barely Bootcut Pant,",,39.0,pants
106,Women's Floral Print Elastic Waist Harem Pants,BaiShengGT,18.99,pants
107,Women's Relaxed Fit Nikki Knit Waist Cargo Capri Pant,,19.2,pants
108,Womens Slimming High Waist Stretchy Boot Cut Dress Pants,ABCWOO,29.99,pants
109,"Women's Motion Series Total Freedom Maddie Trouser,",,18.37,pants
110,Women's Summer Lounge Pants Comfy Floral Print Drawstring Stretch Wide Leg Pajama Palazzo Pant,ZHENYUL,14.99,pants
111,Brenna Pant,,20.84,pants
112,Women's Mid Rise 3/4 Capri Stabilyx Compression Legging Tights,CW-X,39.99,pants
113,Women's Floral Print Comfy Stretch Drawstring Palazzo Wide Leg Lounge Pants,US-straight,11.28,pants
114,Women's Boho High Waist Split Stripe Wide Leg Pants,BerryGo,19.99,pants
115,Women's Rayon Strap Celebrity Midi Evening Party Bandage Dress,,19.99,pants
116,Women's Work Ankle Dress Pants Trousers Slacks,Marycrafts,7.9,pants
117,Women's Comfy Drawstring Linen Pants Long with Band Waist,,38.38,pants
118,"Women's Petite Relaxed Fit All Day Straight Leg Pant,",,15.72,pants
119,Faux Leather PU Elastic Shaping Hip Push Up Pants Black Sexy Leggings for Women,DALLNS,24.99,pants
120,Women's Fold Over High Waist Wide Leg Long Palazzo Pants,Vivicastle,7.95,pants
