,product_name,seller,price,category
0,Performance Cushion Crew Socks with Band (6 Pairs),,20.0,socks and hosiery
1,Hidden Comfort No-Show Running Socks for Men and Women (1 Pair),Balega,8.99,socks and hosiery
2,Women's 3 to 8 Pack Thin Casual No Show Socks Non Slip Flat Boat Line,Eedor,8.95,socks and hosiery
3,Women's Essential No-Show Liner Socks (6 Pairs),,12.99,socks and hosiery
4,Blister Resist No Show Socks for Men and Women (1 Pair),Balega,13.0,socks and hosiery
5,Performance Cushion Crew Training Socks (3 Pairs),,8.37,socks and hosiery
6,Academy Over-The-Calf Soccer Socks,,9.0,socks and hosiery
7,Women's Superlite No Show Socks (Pack of 6),,13.3,socks and hosiery
8,Women's Ultra Soft Transition Tight,,10.25,socks and hosiery
9,TeeHee Women's Fashion No Show/Low cut Fun Socks 12 Pairs Packs,,9.28,socks and hosiery
10,Women's 3-9 Pairs Casual Thin No Show Socks Non Slip Flat Boat Line,Ordenado,6.99,socks and hosiery
11,Women's 20 Pairs Colorful Patterned Low Cut/No Show Socks,Tipi Toe,15.99,socks and hosiery
12,Unisex XCCU Multi-Sport Thin Padded Low Cut Sock,,8.05,socks and hosiery
13,Women's Performance Athletic Running Tab Socks (6 Pair Pack),BERING,18.99,socks and hosiery
14,Performance Cushion Quarter Training Socks (3 Pairs),,13.99,socks and hosiery
15,Dry Elite 1.5 Crew Basketball Socks (1 Pair),,8.86,socks and hosiery
16,Women's 8-Pair Performance No-Show Sport Socks,Saucony,14.99,socks and hosiery
17,Dry Cushion No-Show Training Socks (3 Pairs),,11.61,socks and hosiery
18,Feetures Elite Max Cushion No Show Tab Athletic Running Socks for Men and Women,Feetures!,15.97,socks and hosiery
19,"Thirty48 Women’s No Show Loafer Socks, Boat Shoe Liners with Non Slip Grip",Thirty 48,9.75,socks and hosiery
20,High Waist Tights Fishnet Stockings Thigh High Stockings Pantyhose,akiido,6.99,socks and hosiery
21,Ultralight No Show Athletic Running Socks for Men and Women (1 Pair),Balega,11.95,socks and hosiery
22,Hidden Dry Moisture-Wicking Socks for Men and Women (1 Pair),Balega,9.1,socks and hosiery
23,Dri-FIT Crew Training Socks (Large/6 Pair),,17.98,socks and hosiery
24,Performance Cushion No-Show Socks with Band (6 Pairs),,20.0,socks and hosiery
25,Feetures - High Performance Cushion - No Show Tab - Athletic Running Socks for Men and Women,Feetures!,12.98,socks and hosiery
26,Women's Super Opaque Control-Top Tights,,6.59,socks and hosiery
27,Anti Slip Non Skid Barre Yoga Pilates Hospital Socks with grips for Adults Men Women,Deluxe,7.99,socks and hosiery
28,Ultra Low Cut Liner Socks Women No Show Non Slip Hidden Invisible for Flats Boat Summer 5 Pairs,Toes Home,10.99,socks and hosiery
29,Ultra Low Microfiber Liner with Gel Tab - 6 Pairs,,10.77,socks and hosiery
30,3 Pairs Women's Girls' Basic Convertible Transition Ballet Dance Tights,Manzi,13.99,socks and hosiery
31,Women's Cushion Sweat-absorbent Breathable Soft Athletic No Show Socks,Leotruny,13.99,socks and hosiery
32,No Show Flat Cushion Athletic Cotton Footies Sneakers Sports Socks,Pro Mountain,12.99,socks and hosiery
