,product_name,seller,price,category
0,Women's Vintage Patchwork Pockets Puffy Swing Casual Party Dress OX165,oxiuly,29.96,suiting and blazers
1,Women's Casual Solid T-Shirt Batwing Long Sleeve Tunic Tops Round Neck Loose Comfy with Pockets,,9.99,suiting and blazers
2,Women's Casual Work Solid Color Knit Blazer,Auliné Collection,18.99,suiting and blazers
3,Women's Stretch 3/4 Gathered Sleeve Open Blazer Jacket,Awesome21,17.64,suiting and blazers
4,Women's Elastic Waist Stretch Bodycon Midi Pencil Skirt,Urban CoCo,13.86,suiting and blazers
5,New York Women's All Around Comfort Pant,Briggs,19.99,suiting and blazers
6,Womens Casual Work Office Open Front Blazer Jacket Made in USA,HyBrid & Company,15.99,suiting and blazers
7,Women 3/4 Sleeve Striped Wear to Work Business Cocktail Pencil Dress,REPHYLLIS,21.99,suiting and blazers
8,Women Faux Wrap A Line Dress,PattyBoutik,31.99,suiting and blazers
9,Women's Below the Knee Pencil Skirt for Office Wear - Made in USA,Simlu,14.99,suiting and blazers
10,Women's Slim Fit Midi Pencil Skirts for Office Wear,PrettyWorld Vintage Dress,9.99,suiting and blazers
11,Women Double Notch Lapel Sharp Shoulder Pad Office Blazer,HyBrid & Company,26.99,suiting and blazers
12,Women's Slimming 3/4 Sleeve Fit Flare Crossover Tummy Control Dress,Rekucci,36.99,suiting and blazers
13,Women 3/4 Sleeve Blazer Open Front Cardigan Jacket Work Office Blazer,POGT,14.99,suiting and blazers
14,Women Long Sleeve Floral Lace Shrug Open Front Bolero Cardigan,Abollria,1.56,suiting and blazers
15,Women's High Waist Stretch Bodycon Pencil Skirt,Urban CoCo,12.86,suiting and blazers
16,Women's Classic Cap-Sleeve Wrap Dress,,45.0,suiting and blazers
17,Women's Lightweight Thin Chiffon Ruched Sleeve Open-Front Blazer,JJ Perfection,11.47,suiting and blazers
18,"Womens Stretchable Mini Pencil Skirt - Above The Knee 19"" Length Classic Skirt",Velucci,13.45,suiting and blazers
19,Women's Retro Chic Colorblock Lapel Career Tunic Dress B238,,24.99,suiting and blazers
20,Classic Draped Open Front Blazer for Women with Plus Size,,24.99,suiting and blazers
21,Women's 2/3 Sleeve Colorblock Slim Bodycon Business Pencil Dress,WOOSEA,20.99,suiting and blazers
22,Women's Cotton Rolled up Sleeve No-Buckle Blazer Jacket Suits,FACE N FACE,26.99,suiting and blazers
23,Women's Office Blazer Jacket Open Front,Urban CoCo,28.86,suiting and blazers
