product_name,price_int,price_dec,a-size-small href 2,seller
Unisex Classic Clog,12,50,,
Unisex Classic Clog,39,99,,
Unisex Classic Clog,54,00,,
"Unisex Classic Clog, Black, 11 US Men/13 US Women",54,99,https://www.amazon.com/gp/offer-listing/B07BTVSJKJ/ref=lp_679410011_1_4_olp?s=apparel&ie=UTF8&qid=1536135958&sr=1-4&nodeID=679410011&psd=1&condition=new,
Classic Mule Slate Grey - 5 US Men/7 US Women M US,39,99,,
"Unisex Classic Clog, Navy, 7 US Men/9 US Women",49,92,https://www.amazon.com/gp/offer-listing/B07C9RP8TV/ref=lp_679410011_1_6_olp?s=apparel&ie=UTF8&qid=1536135958&sr=1-6&nodeID=679410011&psd=1&condition=new,
"Unisex Classic Clog, Black, 8 US Men/10 US Women",54,00,https://www.amazon.com/gp/offer-listing/B07BTPSYY2/ref=lp_679410011_1_7_olp?s=apparel&ie=UTF8&qid=1536135958&sr=1-7&nodeID=679410011&psd=1&condition=new,
"Unisex Classic Clog, Black, 12 US Men/14 US Women",55,00,https://www.amazon.com/gp/offer-listing/B07BRD9Q4N/ref=lp_679410011_1_8_olp?s=apparel&ie=UTF8&qid=1536135958&sr=1-8&nodeID=679410011&psd=1&condition=new,
"Unisex Classic Clog, Navy, 8 US Men/10 US Women",45,94,https://www.amazon.com/gp/offer-listing/B07BRT4JSB/ref=lp_679410011_1_9_olp?s=apparel&ie=UTF8&qid=1536135958&sr=1-9&nodeID=679410011&psd=1&condition=new,
"Unisex Classic Clog, Navy, 8 US Men/10 US Women",49,95,https://www.amazon.com/gp/offer-listing/B07BTS28LC/ref=lp_679410011_1_10_olp?s=apparel&ie=UTF8&qid=1536135958&sr=1-10&nodeID=679410011&psd=1&condition=new,
"Unisex Classic Clog, Khaki, 9 US Men / 11 US Women",54,95,https://www.amazon.com/gp/offer-listing/B07G2S1QV9/ref=lp_679410011_1_11_olp?s=apparel&ie=UTF8&qid=1536135958&sr=1-11&nodeID=679410011&psd=1&condition=new,
"Unisex Classic Clog, Black, 12 US Men/14 US Women",54,99,https://www.amazon.com/gp/offer-listing/B07BTS831C/ref=lp_679410011_1_12_olp?s=apparel&ie=UTF8&qid=1536135958&sr=1-12&nodeID=679410011&psd=1&condition=new,
"Adult Classic Clogs, White 5",26,94,https://www.amazon.com/gp/offer-listing/B074DZ5P96/ref=lp_679410011_1_13_olp?s=apparel&ie=UTF8&qid=1536135958&sr=1-13&nodeID=679410011&psd=1&condition=used,
"Unisex Classic Clog, Khaki, 8 US Men / 10 US Women",54,95,https://www.amazon.com/gp/offer-listing/B07G2T7CYK/ref=lp_679410011_1_14_olp?s=apparel&ie=UTF8&qid=1536135958&sr=1-14&nodeID=679410011&psd=1&condition=new,
"Unisex Classic Clog, Navy, 10 US Men/12 US Women",44,00,https://www.amazon.com/gp/offer-listing/B07BTTXGC3/ref=lp_679410011_1_15_olp?s=apparel&ie=UTF8&qid=1536135958&sr=1-15&nodeID=679410011&psd=1&condition=new,
"Unisex Classic Clog, Navy, 11 US Men/13 US Women",44,00,https://www.amazon.com/gp/offer-listing/B07BTVMS4J/ref=lp_679410011_1_16_olp?s=apparel&ie=UTF8&qid=1536135958&sr=1-16&nodeID=679410011&psd=1&condition=new,
"Unisex Classic Clog, Navy, 9 US Men/11 US Women",49,95,https://www.amazon.com/gp/offer-listing/B07BTS2MCM/ref=lp_679410011_1_17_olp?s=apparel&ie=UTF8&qid=1536135958&sr=1-17&nodeID=679410011&psd=1&condition=new,
"Unisex Classic Clog, Khaki, 7 US Men / 9 US Women",54,95,https://www.amazon.com/gp/offer-listing/B07G2W19TN/ref=lp_679410011_1_18_olp?s=apparel&ie=UTF8&qid=1536135958&sr=1-18&nodeID=679410011&psd=1&condition=new,
"Unisex Classic Clog, Khaki, 11 US Men / 13 US Women",54,95,https://www.amazon.com/gp/offer-listing/B07G2WNLGN/ref=lp_679410011_1_20_olp?s=apparel&ie=UTF8&qid=1536135958&sr=1-20&nodeID=679410011&psd=1&condition=new,
"Unisex Classic Clog, Navy, 6 US Men/8 US Women",41,39,https://www.amazon.com/gp/offer-listing/B07C9R8KC4/ref=lp_679410011_1_21_olp?s=apparel&ie=UTF8&qid=1536135958&sr=1-21&nodeID=679410011&psd=1&condition=new,
"Unisex Classic Clog, Black, 13 US Men/15 US Women",39,99,,
Arizona Birkibuc Sandal,98,00,,Birkenstock
Women's Professional Mule,125,00,,
Women's OOlala Satin - Post Run Sports Recovery Thong Sandal - Black/Calypso - W10,64,95,,OOFOS
Women's Oolala Thong Flip Flop,58,90,,OOFOS
Women's Traveltime Mule,23,99,,
Travel Time Women's Slip On 9 B(M) US White,68,95,,
Professional Clog,71,17,,
Unisex LiteRide Clog,39,86,,
Unisex Bistro Work Clog,19,42,,
Unisex Bistro Clog,26,99,,
Unisex Classic Lined Clog,27,99,,
Women's Neria Pro Work Clog,29,99,,
Birkenstock Unisex Arizona Suede,120,00,,
Offroad Sport Realtree Max-5 2 Clog,34,99,,
Unisex Crocband Clog,15,99,,
Women's Crocband Clog,18,31,,
Women's Florida Birkibuc Sandal,99,95,,Birkenstock
Unisex OOcloog Clog,56,48,,OOFOS
Women's Pro Xp Mule Shoe,96,45,,
Men's Pro XP Mule,129,95,,
Unisex Classic Blitzen III Clog,31,58,,
Women's Mercy Work Clog,20,69,,
Women's Keli Professional Shoe,34,99,,
Women's Paloma Flat,34,95,,
Unisex Garden Clogs Shoes Sandals Slippers,15,80,,Amoji
Women's Freesail Mule,17,99,,
Women's Freesail Mule,17,99,,
"Women's Freesail Mule,",19,65,,
"Women's Freesailclogw,",29,99,,
Women's Freesail Mule,45,58,,
Unisex On The Clock Work Slip On,30,22,,
Women's Arizona Vegan Sandals,60,00,,Birkenstock
Specialist Vent Clog,20,41,,
Classic Tie Dye Graphic Clog,29,09,,
Unisex Bistro Graphic Work Clogs,26,26,,
BOBS from Skechers Women's Keepsakes Ice Angel Slipper,22,26,,
Women's Xp 2.0 Clog,119,99,,
for Work Women's Slip Resistant Clog,44,95,,
Women's Midi,43,99,,Vionic
"Women's Encore Q2 Breeze Clog,",61,29,,
Unisex Garden Clogs Shoes Slippers Sandals,14,80,,Amoji
Women's Neria Pro Graphic Work Clog,26,69,,
"Women's Premium Garden Clog, Kiwi Green, Size 8, Style 260KW08",22,65,,
Boston Suede Clogs,130,00,,Birkenstock
Women's Martina Mule,59,99,,
Women's Citilane Roka Court Sneaker,21,32,,
Boston Soft Footbed Leather Clogs,130,00,,Birkenstock
Unisex Women's Men's Garden Clog Shoes Quick Drying Slippers Sandals,15,88,,welltree
