product_name,price_int,price_dec,seller,a-size-small href 2
Chuck Taylor All Star Core Ox,38,58,,
Women's Champion Original Canvas Sneaker,23,70,,
Sport Women's Empire Fashion Sneaker,31,95,,
Women's Play Fashion Sneaker,22,64,,
Women's Bluefish Boat Shoe,49,99,,
Merino Wool Lightweight Unisex Shoes by,95,00,Le Mouton,
Women's Padmora Oxford,48,58,,
Women's Citilane Roka Court Sneaker,21,32,,
Women's Saddle Oxford,29,99,Predictions,
Womens PU Leather Oxfords Brogue Wingtip Lace up Chunky High Heel Shoes Dress Pumps Oxfords,23,99,Odema,
Women's Chillax Washed Laceless Slip-On Sneaker,14,95,,
Women's Shoe Classic Lace up Dress Low Flat Heel Oxford,25,99,Ollio,
Women's Everlay Iris Flat,54,60,,
Women's Perforated Lace-up Wingtip Leather Flat Oxfords Vintage Oxford Shoes Brogues,39,99,U-lite,
Womens F-Sporty Uberknit Sneakers,45,78,,
Women's Parties-Mate Oxford Shoes,29,33,,
Women's Cabrillo Casual Shoe,48,75,TOMS,
Women's Sadie Oxford,50,93,,
Women's Platform Lace-up Wingtips Square Toe Oxfords Shoe,29,99,DADAWEN,
Women's Songfish Chambray Boat Shoe,44,98,,
Women's Vee K Shawn Chukka Boot,26,95,,
Women's Classic T-Strap Platform Mid-Heel Square Toe Oxfords Dress Shoes,29,99,DADAWEN,
Women's 1460,60,99,,
Womens Classic Retro Two Tone Embroidery - Wing Tip Lace Up Kitten Heel Oxford Pumps,14,99,Guilty Shoes,
Women's Grandpro Tennis Leather Lace OX Fashion Sneaker,33,41,,
AP1 Sport Walking Shoe,10,15,,
Women's Belle Mary Jane Flat,36,49,,
Women's Kickstart Leather Fashion Sneaker,24,95,,
Women's Plainview,45,66,,
unisex-adult 1461 3 Eye Shoe,82,89,,
Womens Syra,59,50,Vionic,
Women's Microburst Topnotch Sneaker,34,27,,
Women's Deia Fashion Boot,20,00,TOMS,
"Women's Ghenter Srelt Work Shoe,",32,99,,
Women's Motion Lace up Oxford,23,13,,
Women's Flats Shoes Wingtip Lace up Oxfords,27,99,Ollio,
Women's Stitchlite Oxford,34,16,,
Women's Fall New Flat Flower Pattern Shoes,24,99,Mordenmiss,
Women's Wing Tip Saddle Lace up Platform Oxford Flats - Trendy Flatform Shoes,9,50,RF ROOM OF FASHION,
Women's 8065 Mary Jane,70,45,,
Women's Louise Oxford,67,21,,
Women's Janey Mae Oxford,49,95,,
Women's Zerogrand Stitchlite Oxford,75,00,,
Women's Perforated Lace-up Wingtip Flat Oxfords Vintage Oxford Shoes Brogues,29,99,Meeshine,
Upper Class 7300 Saddle Shoe (Toddler/Little Kid/Big Kid),21,13,School Issue,
Women's Leather Perforated Lace-up Oxfords Shoes for Women Wingtip Multicolor Brougue Shoes,89,00,Mona Flying,
Women's Ballet Shoe Flat Enamel Pointed Toe Oxford,25,99,Ollio,
Women's Siesta Lace up Comfort Shoe,49,99,SAS,
Women's Leather Perforated Lace-up Oxfords Shoes for Women Wingtip Multicolor Brougue Shoes,89,00,Mona Flying,
Women's Ballet Shoe Flat Enamel Pointed Toe Oxford,25,99,Ollio,
Women's Siesta Lace up Comfort Shoe,49,99,SAS,
Women's Del Rey Sneaker,29,26,TOMS,
Women's Samina Gladiator Sandal,54,99,BareTraps,
Unisex 1461 Vegan 3 Eye Shoe Boot,78,00,,
Women's Louise Oxford,89,99,,
Women's Platform Lace-Up Wingtips Square Toe Oxfords Shoe,16,99,YING LAN,
Women's Kensett Darla Oxford,32,03,,
Sport Women's Gratis Bungee Fashion Sneaker,25,10,,
Women's Everlay Elma Oxford,49,97,,
Women's Leather Perforated Lace-up Oxfords Shoes for Women Wingtip Multicolor Brougue Shoes,89,00,Mona Flying,
Women's Zerogrand Wing-Tip Oxford,51,74,,
Rockport Women's Paulette Flat,44,99,Cobb Hill,
Women's Ls,61,33,,
Women's Perforated Lace-up Wingtip Multicolor Leather Flat Oxfords Vintage Oxford Shoes,69,99,U-lite,
Unisex 1461 Oxford,45,56,,
Women's Perforated Lace-up Wingtip Pure Color Leather Flat Oxfords Vintage Oxford Shoes,69,99,U-lite,
"Men's 3"" Heel Pimp Shoe. Mens.",33,44,,
Women's 2.Zerogrand Stitchlite OX Oxford,50,00,,
"Women's Raisie Bloom Oxford,",44,54,,
Women's London-01 Cutout Heeled Oxford,17,64,Refresh,
Propet Women's Washable Walker Sneaker,13,98,,
Propet Women's Travelactiv Mary Jane Oxford,38,49,,
Women's Shoe Classic Lace Up Dress Low Flat Heel Oxford,25,99,Ollio,
Women's Jumpin Weekend Canvas Fashion Sneaker,13,99,,
Women's Cadence Oxford,52,46,,
