seller,product_name,price_int,price_dec
TOMS,Women's Classics Glitter Espadrille Pumps,32,49
,Women's Carrson Dress Sandal,34,07
,Women's Gayle Pump,39,99
,Women's Michelle Dress Pump,22,99
DREAM PAIRS,Women's Lowpointed Low Heel Dress Pump Shoes,21,99
,Women's Total Motion 75mm Pointy Pump,44,99
Predictions,Comfort Plus Women's Karmen Pump,29,99
Premier Standard,"Women's Strappy Chunky Block High Heel - Formal, Wedding, Party Simple Classic Pump",18,50
,Women's Patti Dress Sandal,39,99
DREAM PAIRS,LUVLY Women's Bridal Wedding Party Low Heel Pump Shoes,17,99
,Women's Brady Dress Pump,46,98
,Women's Parigi Pump,14,97
Cobb Hill,Rockport Women's Aubrey Dress Pump,59,54
Chase & Chloe,Kimmy-21 Women's Round Toe Pierced Mid Heel Mary Jane Style Dress Pumps,17,89
,Women's Vendra Bloom Wedge Pump,34,90
,Women's Adriel Viola Dress Pump,59,95
DREAM PAIRS,ARPEL/BERRY Women's Formal Evening Dance Rhinestones Classic Low Heel Pumps Shoes New,19,99
DREAM PAIRS,Women's Low Heel Pumps,25,99
J. Adams,Ankle Strap Kitten Heel - Adorable Low Block Heel - Daisy,21,00
Chase & Chloe,Kimmy-36 Women's Teardrop Cut Out T-Strap Mid Heel Dress Pumps,11,36
,"Women's Emslie Lulin Pump,",48,15
,Women's Natalie Dress Pump,25,05
,"Women's Natalie Pump,Latte Leather,US 9 W",98,95
,"Women's Natalie Pump,Latte Leather,US 4.5 M",98,95
,"Women's Natalie Pump,Latte Leather,US 7 WW",99,00
,Women's SOHO9X9 Leather Pump,53,09
,Women's Cash Wedge Pump,29,96
DREAM PAIRS,Women's City_OT Fashion Stilettos Peep Toe Pumps Heels Shoes,24,99
,"Women's Keesha Rosa Dress Pump,",33,10
Guilty Shoes,Womens Classic Pointy Toe Low Kitten Heel Office Dress Slip On Fashion Pump - 22 Colors,11,91
,Women's Angel II Pump,12,47
Greatonu,Womens Slingback Dress Pump,17,99
,Women's Marcie Wedge Pump,22,64
DREAM PAIRS,Women's Oppointed-Mary Pump Shoe,24,99
Forever,Link Women's DORIS-22 Patent Round Toe Wedge Pumps,11,99
,Women's Wedge Open Toe Strap Chunky Heel Sandal Fashion Shoes,23,99
Odema,Womens PU Leather Oxfords Brogue Wingtip Lace up Chunky High Heel Shoes Dress Pumps Oxfords,23,99
DREAM PAIRS,Oppointed-Ankle Women's Pointed Toe Ankle Strap D'Orsay High Heel Stiletto Pumps Shoes.,17,99
,Women's Eliana Mule,19,99
Christian Siriano for Payless,Women's Habit Pointed Pump,34,99
,Women's Daisie Dress Pump,44,99
,Women's Daisie Crystal Dress Closed 9.0 US,99,95
,Women's Emslie Warbler Pump,43,28
,Women's Boni7 Dress Pump,49,20
,"Women's Katy Pointed, Closed Toe Low, Kitten Heel Pumps",16,99
,Women's Nima Wedge Pump,20,23
,Women's Seamless Dress Pump,22,48
,"Women's Gaby Pointed, Closed Toe Stiletto Pump Heels",16,99
,Women's Boni7 Dress Pump,49,20
,"Women's Katy Pointed, Closed Toe Low, Kitten Heel Pumps",16,99
,Women's Nima Wedge Pump,20,23
,Women's Seamless Dress Pump,22,48
,"Women's Gaby Pointed, Closed Toe Stiletto Pump Heels",16,99
,Women's Comfortable Fashion Low Heels Round Toe Wedge Pumps Shoes,18,99
OCHENTA,Women's Ankle Strap Platform Pump Party Dress High Heel,23,99
DREAM PAIRS,Women's Oppointed-Lacey Pump Shoe,24,99
,Women's Sadie Wedge 40MM Pump,65,95
,Women's Marcelle Clog,116,83
getmorebeauty,Women's Wedge Sandals Pearls Across The Top Platform High Heels,19,80
DREAM PAIRS,Women's Kucci Classic Fashion Pointed Toe High Heel Dress Pumps Shoes,19,99
,"Women's Rainaa Pump,",14,95
Mostrin,Milesline Fashion Vintage Womens Small Bowtie Platform Pumps Ladies Sexy High Heeled Shoes,19,99
,Women's Flores Tulip Wedge Pump,29,64
,Women's Kayden4 Dress Pump,45,35
JENN ARDOR,"Stiletto High Heel Shoes for Women: Pointed, Closed Toe Classic Slip On Dress Pumps",22,99
,Women's Expert Dress Pump,31,98
,Women's Dreams Wedge Pump,27,97
,Women's Ludlow Pump,38,50
DREAM PAIRS,Women's Valentine Fashion Dress High Heel Peep Toe Wedding Pumps Shoes,29,99
