seller,product_name,price_int,price_dec
Birkenstock,Women's Mayari Black Birko-Flor Sandal 38 N (US Women's 7-7.5),85,20
Birkenstock,Women's Mayari Mocha Birkibuc Sandal 38 N (US Women's 7-7.5),116,85
Birkenstock,Women's Mayari Tobacco Oiled Leather Sandal 38 (US Women's 7-7.5),125,00
Birkenstock,Women's Mayari Tobacco Oiled Leather Sandal 39 (US Women's 8-8.5),125,00
Birkenstock,Women's Mayari Black Birko-Flor Sandal 39 N (US Women's 8-8.5),93,55
Birkenstock,Women's Mayari Tobacco Oiled Leather Sandal 40 (US Women's 9-9.5),125,00
Birkenstock,Women's Mayari Mocha Birkibuc Sandal 39 N (US Women's 8-8.5),116,85
Birkenstock,Women's Mayari Mocha Birkibuc Sandal 40 N (US Women's 9-9.5),116,85
Birkenstock,Women's Mayari Black Birko-Flor Sandal 40 N (US Women's 9-9.5),99,45
Birkenstock,Women's Mayari Black Birko-Flor Sandal 37 N (US Women's 6-6.5),85,00
Birkenstock,Women's Mayari Mocha Birkibuc Sandal 36 N (US Women's 5-5.5),116,85
Birkenstock,Women's Mayari Tobacco Oiled Leather Sandal 37 (US Women's 6-6.5),125,00
Birkenstock,Women's Mayari Hibiscus Birko-Flor Sandal 38 (US Women's 7-7.5),74,99
Birkenstock,Mayari Oiled Leather Regular Black Size EU 39 - US L8 M6,89,44
Birkenstock,Women's Mayari Magenta Haze Birko-Flor Sandal 38 (US Women's 7-7.5),61,97
Birkenstock,Women's Mayari Tobacco Oiled Leather Sandal 36 (US Women's 5-5.5),125,00
Birkenstock,Women's Mayari Magenta Haze Birko-Flor Sandal 40 (US Women's 9-9.5),61,97
Birkenstock,Women's Mayari Mocha Birkibuc Sandal 42 N (US Women's 11-11.5),99,36
Birkenstock,Women's Mayari Ocean Blue Birko-Flor Sandal 39 (US Women's 8-8.5),74,91
Birkenstock,Women's Mayari Black Birko-Flor Sandal 41 N (US Women's 10-10.5),99,95
Birkenstock,Women's Mayari Hibiscus Birko-Flor Sandal 39 (US Women's 8-8.5),61,97
Birkenstock,Women's Mayari Hibiscus Birko-Flor Sandal 37 (US Women's 6-6.5),61,97
Birkenstock,Mayari Oiled Leather Regular Black Size EU 36 - US L5,117,30
Birkenstock,Women's Mayari Ocean Blue Birko-Flor Sandal 38 (US Women's 7-7.5),61,97
Birkenstock,Women's Mayari Black Birko-Flor Sandal 36 N (US Women's 5-5.5),99,95
Birkenstock,Women's Mayari Magenta Haze Birko-Flor Sandal 37 (US Women's 6-6.5),69,89
Birkenstock,Mayari Oiled Leather Regular Black Size EU 40 - US L9 M7,89,44
Birkenstock,Women's Mayari Hibiscus Birko-Flor Sandal 41 (US Women's 10-10.5),79,89
Birkenstock,Women's Mayari Magenta Haze Birko-Flor Sandal 39 (US Women's 8-8.5),69,89
Birkenstock,Women's Mayari Hibiscus Birko-Flor Sandal 42 (US Women's 11-11.5),99,95
Birkenstock,Women's Mayari Mocha Birkibuc Sandal 35 N (US Women's 4-4.5),99,95
Birkenstock,Mayari Oiled Leather Regular Black Size EU 38 - US L7 M5,89,44
Birkenstock,Women's Mayari Hibiscus Birko-Flor Sandal 40 (US Women's 9-9.5),61,97
Birkenstock,Women's Mayari Magenta Haze Birko-Flor Sandal 41 (US Women's 10-10.5),87,45
Birkenstock,Women's Mayari Black Birko-Flor Sandal 42 N (US Women's 11-11.5),89,60
Birkenstock,Women's Mayari Ocean Blue Birko-Flor Sandal 37 (US Women's 6-6.5),61,97
Birkenstock,Mayari Oiled Leather Regular Black Size EU 37 - US L6 M4,89,44
Birkenstock,Women's Mayari Magenta Haze Birko-Flor Sandal 36 (US Women's 5-5.5),61,97
Birkenstock,Women's Mayari Magenta Haze Birko-Flor Sandal 42 (US Women's 11-11.5),99,95
Birkenstock,Women's Mayari Hibiscus Birko-Flor Sandal 36 (US Women's 5-5.5),99,95
Birkenstock,Women's Mayari Mocha Birkibuc Sandal 43 N (US Women's 12-12.5),99,95
Birkenstock,Arizona Birkibuc Sandal,98,00
,Women's Breeze Sea Flip-Flop,25,49
,Men's Newport H2 Sandal,59,98
OOFOS,Unisex Ooriginal Thong Flip Flop,49,95
,Women's Olowahu Flip-Flop,12,63
,Women's Tirra Athletic Sandal,49,50
,Performance Women's Go Walk 4 Pursuit Walking Shoe,25,49
Vionic,Women's Tide II Toe Post Sandal,39,92
,Women’s Yoga Sling 2,11,23
,Women's Whisper Sandal,28,87
OOFOS,Women's Oolala Thong Flip Flop,58,90
Pali Hawaii,Unisex Adult Classic Jandals Sandals,8,50
Birkenstock,Unisex Arizona Essentials EVA Sandals,26,25
,Women's Kadee II Flip-Flop,12,27
Birkenstock,Women's Gizeh Birko-Flor Sandals,89,95
,Women's Slim Sandal,9,99
Birkenstock,Women's Gizeh EVA Sandals,27,21
,Women's Yoga Mat Flip-Flop,13,01
TOMS,Women's Classics,21,99
,Women's Carrson Dress Sandal,34,07
Vionic,with Orthaheel High Tide Women's Sandal,29,96
Plaka,Flat Sandals for Women Palm Leaf,24,95
,"Flip Flop Sandals for Woman, Great for Beach or Casual Wear",6,70
,Women's Adilette Cloudfoam+ Slide Sandal,24,98
,Women's Granola Fisherman Sandal,16,25
TOMS,Classic Women's Shoes,19,99
,Women's Arla Glison Flip Flop,24,98
Salt Water Sandals,by Hoy Shoe The Original Sandal,18,69
,Women's Rose Sandal,33,82
,Women’s Swiftwater Sandal,18,69
,Sandy Womens Sandals | Flip Flops for Women,20,97
,Women's Capri V Flip,21,00
,"Women's Capri V Flip,",38,30
,Women's Mush II Flip-Flop,12,48
,Women's Newport H2 Sandal,54,98
,Sport Women's D'Lites Slip-On Mule Sneaker,27,99
OOFOS,Unisex Ooahh Slide Sandal,49,95
Birkenstock,Arizona Women's Birko-Flor Sandal,89,95
,Women's Meleen Twist Sandal,17,48
,Women's Sexi Flip,14,99
,Women's Sexi Flip,39,93
,Women's ZX2 Classic Athletic Sandal,63,76
Rekayla,Flat Elastic Sandals for Women,12,99
,Womens Sandals Ginger | Slim Woven Strap Flip Flops for Women With Soft Cushion Footbed | Waterproof,17,99
DREAM PAIRS,Women's Chunk Low Heel Pump Sandals,18,99
,Women's Meditation-Studio Kicks,14,95
,Women's Z2 Classic Athletic Sandal,71,88
,Women's Yucatan Sandal,56,61
,Women's Ultra Celso Thong Flip-Flop,17,99
,"Women's On-The-go 600 - Brilliancy Sport Sandal,",23,79
,Women's Adilette CF+ Logo W Slide Sandal,24,89
Vionic,Women's Rest Kirra Backstrap Sandal,62,10
,Women's Leigh II Ankle Strap Wedge Sandal,39,19
,Women's Leisa Cacti Slide Sandal,33,99
Vionic,Women's Rest BellaII Toepost Sandal,37,99
,Unisex Athens Flip,19,99
Birkenstock,Women's Florida Birkibuc Sandal,99,95
,Women's Original Universal Sandal,32,47
,adidas Men's Adilette Slide Sandal,21,51
,Women's Ultra Comfort Thong Sandal,24,06
ATIKA,Men's Sports Sandals Trail Outdoor Water Shoes 3Layer Toecap M108/M107/M106,19,98
,Women's Adissage W Slide Sandal,22,46
,Cali Women's Rumblers-Social Butterfly Wedge Sandal,14,95
,Women's Zx2 Classic Athletic Sandal,66,14
,Women's Patricia Sandal,18,00
,Women's Windham Slip-On Flat,19,99
,Women's Savannah Sandal,19,97
,Women's Benassi Just Do It Synthetic Sandal,18,75
,Women's Ignite VIII Slide Sandal,10,28
,Women's Yaro Heeled Sandal,38,00
Vionic,Unisex Wave Toe-Post Sandal,49,30
,Women's Isabella T-Strap Sandal,20,87
,Women's Kimmie Wedge Sandal,69,95
,Women's Original Universal Sandal,34,68
,"Women's Greece Sandal,",40,99
TOETOS,Women's Ivy Fashion Block Heel Sandals,23,99
,Unisex Crocband Flip,8,10
,Ohana Sandal - Women's Black/Black 8,64,95
,Women's Marbella VI Thong Sneaker,9,84
,"Hiking Sandals for Women – Comfortable Athletic Stylish, for Hiking, Outdoors, Walking, Beach, Water, Sports",40,99
,"Womens Carrson Ankle Strap Dress Sandal Shoe, Multi, US 6.5",45,84
,Women's Yoga Sling 2 Print Vintage,9,95
,Women's Spa Thong Slipper,20,00
DREAM PAIRS,Women's Swan High Heel Plaform Dress Pump Shoes,19,99
,Unisex Modi Sport Flip Flop,17,33
,Women's Surfa Flip-Flop,29,99
,Women's Lulu Thong Sandal,39,99
,Women's Cha Cha Sandal,34,95
,Women's Sillian Stork Fisherman Sandal,32,82
,Women's Mush Mandalyn Ola 2 Flip Flop,13,99
Premier Standard,"Women's Strappy Chunky Block High Heel - Formal, Wedding, Party Simple Classic Pump",18,50
,Adissage Sandal (Toddler/Little Kid/Big Kid),20,58
,Women's Reggae-Trailway Slop Sandals Flip-Flop,15,15
,Women's Paloma Flat,34,95
,Women's Sanrah Embellished Flip Wedge Sandal,22,50
,Women's Balla Wedge Sandal,13,00
,Cali Women's Rumbler Sci-Fi Wedge Sandal,27,06
,"Women's Lexi Marigold Q,",32,48
,Women's W Voya Flip-Flop,17,48
DREAM PAIRS,SPPARKLY Women's Elastic Strappy String Thong Ankle Strap Summer Gladiator Sandals,17,99
