seller,product_name,price_int,price_dec
TOMS,Women's Classics,21,99
Vionic,Women's Relax Slipper (Size 11/Dark Grey Zebra),59,95
Birkenstock,Arizona Women's Birko-Flor Sandal,89,95
TOMS,Men's Classic Canvas Slip-On,19,99
ULTRAIDEAS,"Women's Comfort Memory Foam Slippers Wool-Like Plush Fleece Lined House Shoes w/Indoor, Outdoor Anti-Skid Rubber Sole",19,90
Shevalues,Shower Sandal Slippers Quick Drying Bathroom Slippers Gym Slippers Soft Sole Open Toe House Slippers,10,99
,Women's Comfort Slip On Memory Foam Slippers French Terry Lining House Slippers w/Anti Slip Sole,13,99
Vionic,Relax - Orthaheel Orthotic Slippers,49,95
,Women's Terry Ballerina Slipper with Bow for Indoor/Outdoor Comfort,12,00
,Ohana Slipper - Women's Blueberry/Black 10,64,95
,Women's Spa Thong Slipper,20,00
,Women's Satin Ballerina with Bow and Faux Suede Sole for Comfort,11,23
RockDove,Women's Two-Tone Memory Foam Clog Slipper,18,99
,Women's Microfiber Velour Closed Back Slipper,13,71
Wishcotton,"Women’s Memory Foam Thong Slippers, Adjustable Anti-Skid Flip Flops",16,85
,Women's Scuffette II Slipper,84,95
Kali Footwear,Women's Flip Flop Faux Fur Soft Slide Flat Slipper Limit,9,75
Amoji,Unisex Garden Clogs Shoes Sandals Slippers,15,80
,Women's Coquette Slipper,119,95
,Women's Terry Slip On Clog Slipper with Memory Foam for Indoor/Outdoor Comfort,11,23
Finleoo,Women Men Bath Slipper Anti-Slip Indoor Home House Sandal,6,99
,Women’s Cute Comfy Fuzzy Knitted Memory Foam Slip On House Slippers Indoor,18,99
,Faux Fur Slip On Womens House Slipper with Memory Foam,20,00
Shevalues,Women's Soft Indoor Slippers Open Toe Cotton Memory Foam Slip on Home Shoes House Slippers,7,99
HomeIdeas,"Women's Faux Fur Lined Suede House Slippers, Breathable Indoor Outdoor Moccasins",19,99
ULTRAIDEAS,Women's Comfort Coral Fleece Memory Foam Slippers Plush Lining Slip-on Clog House Shoes for Indoor & Outdoor Use,13,95
Wishcotton,Men's & Women's Memory Foam Slippers Washable House Shoes Non-Slip Sole,14,90
,Women's Ansley Moccasin,80,00
OSHOW,"Womens Slipper, Fluffy Slip On House Slippers Clog Soft Indoor Outdoor Slipper for Winter",12,99
ULTRAIDEAS,Women's Cozy Memory Foam Plush Gridding Velvet Lining Spa Thong Flip Flops Clog Style House Indoor Slippers,18,99
,BOBS from Skechers Women's Keepsakes Ice Angel Slipper,22,26
Vionic,"Orthaheel Gemma Orthotic Slipper Black, 8",59,95
Amoji,Unisex Garden Clogs Shoes Slippers Sandals,14,80
,Women's Dakota,99,94
Popglory,"Womens Slipper Memory Foam Fluffy Slip-On House Suede Fur Lined/Anti-Skid Sole, Indoor & Outdoor …",18,99
Misolin,"Womens Slipper Memory Foam Fluffy Slip-on House Suede Fur Lined/Anti-Skid Sole, Indoor & Outdoor",17,99
,Women's Bikers-Pedestrian Moccasin 48930,15,94
17KM,Bath Slipper Women Men Non-Slip Open Toe Shower Sandals Indoor Outdoor Soft Flat Slide Sandals Slippers,8,99
,Women's Comfort Memory Foam Cotton House Slippers Spa Shoes w/Fleece Lining & Anti-Skid Rubber Sole,12,99
,Women's Terry Slip On Cushioned Slipper with Memory Foam for Indoor/Outdoor Comfort and Arch Support,17,00
,Women’s Quilted Terry Clog Mule Slipper – Padded Terrycloth Slip-Ons with Skid-Resistant Rubber Outsole,13,43
