,product_name,seller,price,category
0,Rain Poncho Jacket Coat for Adults Hooded Waterproof with Zipper Outdoor,LINENLUX,22.99,"coats, jackets and vests"
1,Women's Arcadia Ii Jacket,,39.43,"coats, jackets and vests"
2,Women's Tanjun Running Shoes,,41.96,"coats, jackets and vests"
3,Women's Benton Springs Classic Fit Full Zip Soft Fleece Jacket,,19.86,"coats, jackets and vests"
4,Raincoats Waterproof Lightweight Rain Jacket Active Outdoor Hooded Women's Trench Coats,FISOUL,19.99,"coats, jackets and vests"
5,Mens Classic Rain Jacket (S440),Portwest,9.82,"coats, jackets and vests"
6,Authentics Women's Denim Jacket,,29.99,"coats, jackets and vests"
7,Women's New Englander Waterproof Rain Jacket,,47.0,"coats, jackets and vests"
8,Womens Boho Irregular Long Sleeve Wrap Kimono Cardigans Casual Coverup Coat Tops Outwear S-3XL,ECOWISH,16.99,"coats, jackets and vests"
9,Women's Pardon My Trench Rain Jacket,,34.98,"coats, jackets and vests"
10,Women's Switchback II Jacket,,29.95,"coats, jackets and vests"
11,Women's Venture 2 Jacket,,49.98,"coats, jackets and vests"
12,Women's Designed-2-Move Track Jacket,,30.76,"coats, jackets and vests"
13,Unisex Sherpa Quarter-Zip Pullover (Q10),boxercraft,29.43,"coats, jackets and vests"
14,PreCip Women's Lightweight Waterproof Rain Jacket,,64.97,"coats, jackets and vests"
15,Women's Waterproof Raincoat Outdoor Hooded Rain Jacket Windbreaker (14 Colors S-XXL),SoTeer,18.98,"coats, jackets and vests"
16,Women's Switchback III Rain Jacket,,31.99,"coats, jackets and vests"
17,Women's Classic Trucker-Jackets,,49.99,"coats, jackets and vests"
18,Women's Fashion Long Sleeve Lapel Zip Up Faux Shearling Shaggy Oversized Coat Jacket with Pockets Warm Winter,PRETTYGARDEN,7.89,"coats, jackets and vests"
19,Women's Lightweight Hooded Raincoat Waterproof Packable Active Outdoor Rain Jacket,Hount,15.99,"coats, jackets and vests"
20,Women's Fast Trek Ii Full Zip Fleece Jacket,,35.65,"coats, jackets and vests"
21,"Women's Original Trucker,",,48.5,"coats, jackets and vests"
22,Womens Zip Up Military Anorak Jacket W/Hood,FASHION BOOMY,19.99,"coats, jackets and vests"
23,Women's Denim Jacket,,29.65,"coats, jackets and vests"
24,LL Womens Hooded Faux leather Jacket,Lock and Love,17.46,"coats, jackets and vests"
25,Women's Mountain Waterproof Ski Jacket Windproof Rain Jacket,Wantdo,74.89,"coats, jackets and vests"
26,Women's Women's Resolve 2 Jacket,,53.95,"coats, jackets and vests"
27,Women's Resolve 2 Jacket,,64.79,"coats, jackets and vests"
28,Women's Resolve 2 Jacket,,89.89,"coats, jackets and vests"
29,Women's novelty resolve Jacket white pink XS,,139.87,"coats, jackets and vests"
30,Women's Full-Zip Polar Fleece Jacket,,20.0,"coats, jackets and vests"
31,Women's Hooded Packable Ultra Light Weight Short Down Jacket,Wantdo,50.76,"coats, jackets and vests"
32,Sleeveless Button up Jean Denim Jacket Vest,Hollywood Star Fashion,10.0,"coats, jackets and vests"
33,Lightweight Waterproof Raincoat For Women Windbreaker Packable Outdoor Hooded Rain Jacket,LOMON,23.99,"coats, jackets and vests"
34,Women's Osito 2 Jacket,,58.38,"coats, jackets and vests"
35,Womens' Waterproof Lightweight Raincoat Hooded Outdoor Hiking Long Rain Jacket,ZHENWEI,21.99,"coats, jackets and vests"
