,product_name,seller,price,category
0,Womens Women's Marilyn Straight Leg Jeans,,22.99,jeans
1,Women's 721 High Rise Skinny Jeans,,19.04,jeans
2,Women's 721 High Rise Skinny-Jeans,,49.99,jeans
3,Women's Modern Skinny Jeans,,19.99,jeans
4,Women's Totally Shaping Pull-On Skinny Jean,,19.94,jeans
5,Women's Barbara Bootcut Jeans,,23.77,jeans
6,Denim Women's Juniors Distressed Slim Fit Stretchy Skinny Jeans,Wax,17.7,jeans
7,Women's Amanda Classic Tapered Jean,,10.87,jeans
8,"Women's Petite Amanda Classic Tapered Jean,",,18.54,jeans
9,Women's Nora Skinny Pull On Jean,Jag Jeans,24.99,jeans
10,Womens Hyper Ultra Stretch Comfy Skinny Pants,HyBrid & Company,9.99,jeans
11,"Women's 711 Skinny Jean,",,18.56,jeans
12,"Women's Curvy Straight Jeans,",,19.94,jeans
13,Women's Slimming Skinny Jean,,16.35,jeans
14,Women's Instantly Slims Classic Relaxed Fit Monroe Straight Leg Jean,,17.0,jeans
15,"Women's Relaxed Fit Straight Leg Jean,",,15.07,jeans
16,Women's Ab Solution Jegging,,43.5,jeans
17,Women's Ami Skinny Legging Jeans,,35.99,jeans
18,Women's 529 Curvy Bootcut Jeans,,44.99,jeans
19,Women's 529 Curvy Bootcut Jean,,34.99,jeans
20,Women's Totally Shaping Skinny Jean,,19.99,jeans
21,Women's Juniors Bell Bottom High Waist Fitted Denim Jeans,Vibrant,28.08,jeans
22,Hybrid & Co. Women's Butt Lift Super Comfy Stretch Denim Skinny Yoga Jeans,HyBrid & Company,11.99,jeans
23,"Women's Instastretch Luscious Curvy Bootcut Jeans,",,32.99,jeans
24,"Women's Plus-Size Relaxed Fit Straight Leg Jean,",,20.0,jeans
25,"Women's Cotton Pull-on Pant with Elastic Waist,",,10.01,jeans
26,Women's Classic-Fit Straight-Leg Jean,,21.99,jeans
27,Women's Billie Mini Bootcut Jean,,42.14,jeans
28,Women's 535 Super Skinny Jeans,,28.28,jeans
29,Women's Plus Size Easy Fit Elastic Waist Pull On Pant,,19.99,jeans
30,"Women's 525 Perfect Waist Straight Jeans,",,35.7,jeans
31,Classic Denim Leggings,,14.97,jeans
32,Women's Totally Shaping Bootcut Jean,,19.99,jeans
33,Women's Modern Straight Jeans,,6.92,jeans
34,Women's R.E.A.L. Riding Mid Rise Boot Cut Jean,,38.2,jeans
35,"Women's Slimming Fit Rebound Skinny Leg Jean,",,18.98,jeans
36,Women's Classic High Waist Denim Skinny Jeans,Vibrant,25.58,jeans
37,Women's Mid-Rise Slim Cuffed Jeans,,21.99,jeans
