,product_name,seller,price,category
0,Womens and Mens Kids Water Shoes Barefoot Quick-Dry Aqua Socks for Beach Swim Surf Yoga Exercise,WateLves,7.99,athletic shoes
1,Women's Cloudfoam Pure Running Shoe,,48.96,athletic shoes
2,Womens Launch 4,,66.99,athletic shoes
3,Mens Womens Water Shoes Quick Dry Barefoot for Swim Diving Surf Aqua Sports Pool Beach Walking Yoga,Putu,21.99,athletic shoes
4,Water Sports Shoes Barefoot Quick-Dry Aqua Yoga Socks Slip-on for Men Women Kids,VIFUUR,8.99,athletic shoes
5,Men's Newport H2 Sandal,,59.98,athletic shoes
6,Women's Gel-Venture 6 Running-Shoes,,38.36,athletic shoes
7,Women's GEL-Venture 5 Running Shoe,,41.98,athletic shoes
8,Vengeance Cheer Shoe (Pair),Nfinity,94.78,athletic shoes
9,Womens and Mens Summer Outdoor Water Shoes Aqua Socks for Beach Swim Surf Yoga Exercise,JIASUQI,8.45,athletic shoes
10,Womens Adrenaline GTS 18,,77.6,athletic shoes
11,Chuck Taylor All Star High Top,,29.49,athletic shoes
12,Chuck Taylor All Star High Top Navy 10.5 D(M) US,,49.99,athletic shoes
13,Women's Shoreline Slip on Sneaker,,25.14,athletic shoes
14,Women's Quick Drying Aqua Water Shoes,Zhuanglin,19.99,athletic shoes
15,"Womens Gel-Kayano 24 Running Shoe,",,74.95,athletic shoes
16,Women's Champion Original Canvas Sneaker,,23.7,athletic shoes
17,Women's Olowahu Flip-Flop,,12.63,athletic shoes
18,Womens Ghost 11,,119.9,athletic shoes
19,Women's Tirra Athletic Sandal,,49.5,athletic shoes
20,Barefoot Quick-Dry Water Sports Shoes Aqua Socks for Swim Beach Pool Surf Yoga for Women Men,Barerun,8.99,athletic shoes
21,Girls Canvas Ballet Slipper/Ballet Shoe/Yoga Dance Shoe (Toddler/Little Kid/Big Kid/Women/Boy),STELLE,6.99,athletic shoes
22,Performance Women's Go Walk 4 Pursuit Walking Shoe,,25.49,athletic shoes
23,Women's Gel-Kayano 23 Running Shoe,,44.96,athletic shoes
24,Men's CROSSFIT Nano 8.0 Flexweave Cross Trainer,,61.99,athletic shoes
25,Women's Athletic Walking Shoes Casual Mesh-Comfortable Work Sneakers,TIOSEBON,19.99,athletic shoes
26,Lunarglide 3 Big Kids GS Running Wolf Grey Platinum Orange White (GS) (5),,92.99,athletic shoes
27,Men's Free- RN Flyknit 2017 Running Shoe,,19.99,athletic shoes
28,Women's Gel-Rocket 8 Volleyball Shoe,,49.96,athletic shoes
29,Women's Gel-Nimbus 19 Running Shoe,,56.22,athletic shoes
30,"Women's Cloudfoam QT Racer Running Shoe,",,44.99,athletic shoes
31,Women's Quick Drying Aqua Water Shoes,ALEADER,21.99,athletic shoes
32,Women's Mesh Slip on Water Shoes,ALEADER,19.99,athletic shoes
33,Women's Whisper Sandal,,28.87,athletic shoes
34,Chuck Taylor All Star Core Ox,,25.96,athletic shoes
35,Women's Go Joy Walking Shoe,,29.26,athletic shoes
36,Performance Women's Go Walk 3 Slip-On Walking Shoe,,29.19,athletic shoes
37,Women's Traffic - Past Times Casual Shoe,,29.04,athletic shoes
38,Linodes Leather Upper Jazz Shoe Slip-on,Tent,16.98,athletic shoes
39,Women's Flex Contact Running Shoe,,60.47,athletic shoes
40,Flex Contact Womens Style : 908995 Womens 908995-100 Size 11,,84.5,athletic shoes
41,Womens Launch 5,,95.91,athletic shoes
42,Women's Traveltime Mule,,23.99,athletic shoes
43,Men's Dry Victory Solid Polo Golf Shirt,,44.95,athletic shoes
44,Womens Glycerin 15 Neutral Max Cushion Running Shoe,,95.89,athletic shoes
45,Women's Tanjun Running Shoes,,41.96,athletic shoes
46,Women's Tanjun Running Shoes,,64.67,athletic shoes
47,Women's Tanjun SE,,89.95,athletic shoes
48,"Women's Gel-Contend 4 Running Shoe,White/Bay/Silver,US 9 D",,100.63,athletic shoes
