,product_name,seller,price,category
0,Women's Newton Ridge Plus Waterproof Amped Hiking Boot,,68.0,boots
1,Women's Military Combat Lace up Mid Calf High Credit Card Knife Money Wallet Pocket Boots,,27.99,boots
2,"Men's 6"" Premium Waterproof Boot",,63.04,boots
3,Women's Basel Boot,,29.95,boots
4,Women's Minx Mid II Omni-Heat Winter Boot,,44.19,boots
5,Women's Original Tall Rain Boot,,82.5,boots
6,Womens Hunter Original Tall Wellington Waterproof Winter Snow Rain Boots,,101.49,boots
7,Women's Original Tall Rain Boot,,64.99,boots
8,Womens Miami Cowboy Western Boots,,24.99,boots
9,"Women's Waterproof Rain and Garden Boot with Comfort Insole, Chickens Daffodil Yellow, Size 8, Style 5016CDY08",,33.96,boots
10,"Women's Waterproof Rain and Garden Boot with Comfort Insole, Horse Spirit Black, Size 7, Style 5018HSBK07",,35.12,boots
11,"Women's ICE Maiden II Snow Boot,",,53.76,boots
12,unisex-adult 8053 5 Eye Padded Collar Boot,,59.19,boots
13,WOMEN'S WATERPROOF JENNIFER RAIN BOOTS,,15.97,boots
14,Women's Original Short Rain Boot,,79.95,boots
15,Seasonal Classics Women's Slip on Shoes,TOMS,17.81,boots
16,Women's Brie Ankle Bootie,Carlos by Carlos Santana,29.99,boots
17,"Women's Waterproof Rain and Garden Boot with Comfort Insole, Midsummer Blue, Size 9, Style 5002BL09",,28.88,boots
18,Women's Classic Short II Boot,,75.26,boots
19,Women's Olivia Rain Boot,,25.7,boots
20,Women's Pascal Leather Combat Boot,,67.89,boots
21,Women's Delphina Ankle Bootie,,90.0,boots
22,Women's Agile Kea Slip-on,Vionic,29.9,boots
23,Chance Women's Closed Toe Multi Strap Ankle Bootie,,19.12,boots
24,Muck Boots Chore Classic Men's Rubber Work Boot,,82.98,boots
25,Ankle Strap Kitten Heel - Adorable Low Block Heel - Daisy,J. Adams,21.0,boots
26,Women's Fatbaby Heritage Western Cowboy Boot,,79.95,boots
27,CLUB-01 Women's Slip on Chunky Heel Ankle,Refresh,26.99,boots
28,Women's Villa Waterproof Ankle Bootie,,120.48,boots
29,Women's Caribou Boot,,90.81,boots
30,Camille-86 Women's Comfort Stacked Chunky Heel Lace up Ankle Booties,Forever,10.0,boots
31,Women's Hurricane Wellie - 14 Solids and Prints - Glossy & Matte Waterproof Mid-Calf Rainboots,NORTY,17.9,boots
32,Women's Modern Western Cowboy Distressed Boot With Pull-Up Tabs,Charles Albert,24.99,boots
33,Kids Waterproof Rubber Rain Boots with Easy-On Handles,Oakiwear,16.0,boots
34,Women's Gaucho Boot,,39.99,boots
35,Women's Fatbaby Collection Western Cowboy Boot,ARIAT WOMEN,67.44,boots
36,Women's Buckle Strap Block Heel Ankle Booties,Forever,18.79,boots
37,Women's Sillian Sway Ankle Bootie,,34.43,boots
38,"Women's Waterproof Rain and Garden Shoe with Comfort Insole, Chickens Barn Red, Size 9, Style 5116CBR09",,32.41,boots
39,Unisex Super 550 Series Boot,Blundstone,119.0,boots
40,"Women's Aimilita Black Aunt Sally Leather Fashion Boot,",,117.95,boots
41,Women's Go-Go Boot,,9.55,boots
42,Women's Original Short Gloss Rain Boots,,59.99,boots
43,"Men's 1460 Combat Boot,",,78.0,boots
44,"Womens 1460W Originals Eight-Eye Lace-Up Boot, Cherry Red, 5 M US/3 UK",,110.05,boots
45,Womens 1460 8 Eyelet Arcadia Leather Boots,,161.85,boots
46,Womens Original Back Adjustable Rain Boots,,112.44,boots
47,Women's Nellie Double Waterproof Ankle Boot,,37.49,boots
48,Womens Piccadilly Rain Boot,,39.98,boots
49,Women's White Ledge Hiking Boot,,74.99,boots
50,"Dr. Marten's Women's 1460 8-Eye Patent Leather Boots, Black Patent Lamper, 8 B(M) US",,89.9,boots
51,"Women's 14-Eye Vonda Casual Boot, Black",,61.0,boots
52,"Dr. Marten's Women's 1460 8-Eye Patent Leather Boots, Black Patent Lamper, 5 F(M) UK / 7 B(M) US Women / 6 D(M) US Men",,92.36,boots
53,"Dr. Marten's Women's 1460 8-Eye Patent Leather Boots, Black Patent Lamper, 10 B(M) US Women / 9 D(M) US Men",,89.1,boots
54,"Dr. Marten's Women's 1460 8-Eye Patent Leather Boots, Black Patent Lamper, 7 F(M) UK / 9 B(M) US Women / 8 D(M) US Men",,99.77,boots
55,"Dr. Marten's Women's 1460 8-Eye Patent Leather Boots, Black Patent Lamper, 4 F(M) UK / 6 B(M) US Women / 5 D(M) US Men",,90.61,boots
56,"Women's 1460 8 Eye Boots, Black, 9 M US",,120.0,boots
57,Country Love Pointed Toe Women’s Cowboy Boots W101-1001,Country Love Boots,35.96,boots
58,Hale Multi-Season Women's Rubber Boot,,63.1,boots
59,Women's Cowboy Block Heel Side Zipper Ankle Booties,TOETOS,24.99,boots
60,"Women's Waterproof Rain and Garden Ankle Boots with Comfort Insole, Midsummer Black, Size 9, Style 2841BK09",,37.5,boots
61,Women's Military Lace Up Buckle Combat Boots Ankle High Exclusive Quilted Credit Card Pocket Bootie,,20.99,boots
62,Women's Fashion Casual Outdoor Low Wedge Heel Booties Shoes,DREAM PAIRS,24.99,boots
63,Women's Sienna Rain Shoe,,64.95,boots
64,Rockport Women's Aria-Ch Boot,Cobb Hill,54.76,boots
65,Women's Jaunt Shorty Boot,,25.0,boots
66,Women's Hurricane Wellie - 14 Solids and Prints - Glossy & Matte Waterproof Hi-Calf Rainboots,NORTY,17.9,boots
67,J. Adams Lexy Ankle Boot - Low Stacked Heel Closed Toe Casual Western Bootie,,20.0,boots
68,Women's Out N About Leather Rain Snow Boot,,30.99,boots
69,Women's Heidi Rain Boot,,26.31,boots
70,Link Mango-21 Lady Boot,Forever,15.0,boots
71,Women's Freesail Shorty Rainboot,,23.95,boots
72,Women's Wide Calf Memory Foam Rain Boot,,28.0,boots
73,Women's Western Ankle Bootie w Low Chunky Block Stacked Heel,,14.9,boots
74,Women's Joy Serena Ankle Boot,Vionic,72.48,boots
75,Globalwin Women's KadiMaya16YY25 22Boots,Global Win,19.99,boots
76,Globalwin Women's Large Calf Fashion Boots,Global Win,25.99,boots
77,Muck Boots Chore Classic Men's Rubber Work Boot,,87.66,boots
78,Women's Winter Carnival Snow Boot,,47.15,boots
79,Women's Victoria Short Fashion Boot,Koolaburra by UGG,54.84,boots
80,Women's W Sugarpine II Waterproof Hiking Boot,,90.52,boots
81,Men's 1460 Classic Boot,,62.93,boots
82,Women's Lexy Western Boot,Fergalicious,23.39,boots
83,Women's Bandera Mid-Rise Waterproof Hiking Boot,,35.99,boots
84,Women's Kinzey Fashion Boot,,58.99,boots
85,Women's Buckle Strap Block Heel Ankle Booties,Premier Standard,19.99,boots
86,Women's KadiMaya16YY21 Boots,Global Win,25.99,boots
87,Women's Tarragon Ankle Bootie,,15.86,boots
88,Women Autumn Round Toe Lace up Ankle Buckle Chunky High Heel Platform Knight Martin Boots,Susanny,15.99,boots
89,Women's Ruby Ankle Boot,,49.99,boots
90,Men's Zoom Stefan Janoski Skate Shoe,,39.99,boots
91,Women's Portman Knee High Boot,,72.02,boots
92,Women's Sassy Classy Winter Boot,Not Rated,24.51,boots
93,Womens Ankle Rain Boots - Ladies Waterproof Winter Spring Garden Boot,NORTY,17.9,boots
94,"Men's Waterproof Shoe with Comfort Insole, Black, Size 11, Style 5301BK11",,34.99,boots
95,Women's Hansel Zipper and Buckle Knee-High Riding Boot,,21.21,boots
96,"Women's Hansel Zipper and Buckle Knee-High Riding Boot,Black Smooth,10 B(M) US Wide Calf",,37.2,boots
97,"Women's Hansel Zipper and Buckle Knee-High Riding Boot,Grey,7 B(M) US Wide Calf",,79.95,boots
98,"Women's Hansel Zipper and Buckle Knee-High Riding Boot,Black Smooth,6 B(M) US Wide Calf",,26.53,boots
99,"Women's Hansel Zipper and Buckle Knee-High Riding Boot,Cognac Sn Cognac Smooth,10 B(M) US Regular Calf",,79.99,boots
100,WYNNE-01 Women's combat style lace up ankle bootie,Refresh,23.65,boots
101,Women's Demetra Ankle Bootie,,67.99,boots
102,Women's Jagger Fashion Boot,,139.73,boots
103,Muck Boots Arctic Sport Rubber High Performance Men's Winter Boot,,92.0,boots
104,Women's Lea Wedge Booties,,110.0,boots
105,Leather Boot Laces-easy Sizing Cut to Fit,Tofl,5.46,boots
106,Women's Ankle Booties,,12.99,boots
107,OLUKAI Honoka'a Sandals - Women's,Vionic,56.69,boots
108,Women's Maria Boot,,110.99,boots
109,Women's Vee K Shawn Chukka Boot,,26.95,boots
110,Women's V Jadon II Fashion Boot,,132.21,boots
111,Women's Chicago Chunky Heel Ankle Booties,TOETOS,24.99,boots
112,Women's Unbridled Roper Western Cowboy Boot,,125.95,boots
113,"Men's Iron Ranger 6"" Boot",,217.94,boots
114,Vegan 1460 Boot,,88.2,boots
115,Women's Leather Pointed Toe Stacked Low Heel Side Zipper Ankle Boots Booties,Ofenbuy,22.99,boots
116,Women's Waterproof Printed Tall Rain Boot,,29.37,boots
117,Women's Terrain Work Boot,,69.99,boots
118,Women's Over The Knee Block Chunky Heel Stretch Boots – Available in Medium and Wide Calf,RF ROOM OF FASHION,28.99,boots
119,"Women’s 6-inch Premium Waterproof Boots, Durable Leather Uppers with Padded Collar for Added Comfort",,67.99,boots
120,Women's Pascal RS Silver Ankle Boot,,86.36,boots
121,Women's Troopa Lace-Up Boot,,44.84,boots
