,product_name,seller,price,category
0,Kid's Jefferson Slip-On Sneaker,native,20.39,fashion sneakers
1,Women's D'Lites Memory Foam Lace-up Sneaker,,28.68,fashion sneakers
2,Kids' Classic Clog,,15.95,fashion sneakers
3,Kids' Crocband Clog,,27.99,fashion sneakers
4,Women's Cloudfoam Advantage W Fashion Sneaker,,29.99,fashion sneakers
5,Kids' Chuck Taylor All Star Canvas Low Top Sneaker,,20.05,fashion sneakers
6,Chuck Taylor All Star Core Ox,,38.58,fashion sneakers
7,Women's Flex Appeal 2.0 Sneaker,,22.49,fashion sneakers
8,Chuck Taylor All Star High Top,,29.49,fashion sneakers
9,"Mens Chuck Taylor All Star High Top, 8.5 D(M) US, Black Monochrome",,50.9,fashion sneakers
10,"Unisex Chuck Taylor All Star Hi Basketball Shoe, Women's Black, 8.0",,52.95,fashion sneakers
11,Chuck Taylor All Star Seasonal Canvas High Top Sneakers Red White Mens 10.5,,40.51,fashion sneakers
12,"Mens Chuck Taylor All Star High Top, 9 D(M) US, Black/Black",,59.99,fashion sneakers
13,Women's Shoreline Slip on Sneaker,,25.14,fashion sneakers
14,Women's 2790 Acotw Fashion Sneaker,,47.99,fashion sneakers
15,Women's Lite Racer w Running Shoe,,34.99,fashion sneakers
16,Women's Champion Original Canvas Sneaker,,23.7,fashion sneakers
17,Sport Women's Breathe Easy Lovestory Mary Jane Flat,,38.58,fashion sneakers
18,Men's CROSSFIT Nano 8.0 Flexweave Cross Trainer,,61.99,fashion sneakers
19,Women's Athletic Walking Shoes Casual Mesh-Comfortable Work Sneakers,TIOSEBON,19.99,fashion sneakers
20,Chuck Taylor All Star Low Top,,33.5,fashion sneakers
21,Chuck Taylor All Star Core Ox,,25.96,fashion sneakers
22,Women's Superstar Shoes,,58.28,fashion sneakers
23,"BOBS Women's Plush - Peace and Love,",,18.82,fashion sneakers
24,Womens Classics Black/Black Canvas 10002472,TOMS,30.0,fashion sneakers
25,Adult Suede Classic Shoe,,25.99,fashion sneakers
26,Women's Traveltime Mule,,23.99,fashion sneakers
27,"Women's DLites Interlude Sneaker,",,29.43,fashion sneakers
28,"Women's CF Advantage CL W Sneaker, Black/Black/Utility Black, 5 Medium US",,34.94,fashion sneakers
29,Women's Cloudfoam Advantage Clean Fashion Sneaker,,24.95,fashion sneakers
30,Women's Classics,TOMS,21.99,fashion sneakers
31,"Women's Classic Sneakers Shoes (5.5 B(M) US, Light Grey)",TOMS,62.95,fashion sneakers
32,Women's Tanjun Running Shoes,,41.96,fashion sneakers
33,Unisex Chuck Taylor All Star Hi Top Sneaker,,40.5,fashion sneakers
34,Women's Ultra Flex-First Take Sneaker,,42.31,fashion sneakers
35,Sport Men's Stamina Nuovo Cutback Lace-Up Sneaker,,27.55,fashion sneakers
36,Women's Gel-Excite 4 Running Shoe,,43.58,fashion sneakers
37,Unisex Classic (Checkerboard ) Slip-On Skate Shoe,,24.15,fashion sneakers
38,Classic Women's Shoes,TOMS,19.99,fashion sneakers
39,Kids' Chuck Taylor All Star Canvas High Top Sneaker,,20.2,fashion sneakers
40,Women's Free Rn 2017 Running Shoe,,57.73,fashion sneakers
41,"Women's Wmns Free RN 2017, Black/White-Dark Grey, 10 M US",,110.37,fashion sneakers
42,Womens Free RN 2017 Running Trainers 880840 Sneakers Shoes,,71.16,fashion sneakers
43,"Women's NMD_r1 Stlt Pk,",,76.54,fashion sneakers
44,Sport Women's D'Lites Slip-On Mule Sneaker,,27.99,fashion sneakers
45,Women's Iconic 574 Sneaker,,33.85,fashion sneakers
46,Women's Meleen Twist Sandal,,17.48,fashion sneakers
47,Men's Classic Canvas Slip-On,TOMS,19.99,fashion sneakers
48,Men's Classic Canvas Slip-On,TOMS,19.99,fashion sneakers
49,Sport Women's Empire Fashion Sneaker,,31.95,fashion sneakers
50,Women's Victory Compression Sports Bra,,15.8,fashion sneakers
