,product_name,seller,price,category
0,"BOBS Women's Plush - Peace and Love,",,18.82,flats
1,Womens Classics Black/Black Canvas 10002472,TOMS,30.0,flats
2,Women's Classics,TOMS,21.99,flats
3,Dana-20 Women's Classic Ballerina Flats Elastic Crossing Straps,ANNA,1.99,flats
4,Classic Women's Shoes,TOMS,19.99,flats
5,Women's Lucky Emmie Ballet Flat,,15.74,flats
6,Seasonal Classics Women's Slip on Shoes,TOMS,17.81,flats
7,Men's Classic Canvas Slip-On,TOMS,19.99,flats
8,Shoes Women's Tracer Slip On White Sole Shoes,,11.02,flats
9,Gem Posey Ballet Flat Black 5M,Vionic,94.95,flats
10,Women's Rest BellaII Toepost Sandal,Vionic,37.99,flats
11,Women's Microburst One up Fashion Sneaker,,29.95,flats
12,"Women's Sillian Bella Mary Jane Flat,",,24.9,flats
13,Unisex Crocband Clog,,15.99,flats
14,Performance Women's Go Step Challenge Walking Shoe,,29.95,flats
15,Women's Kadee Flat,,18.99,flats
16,Women's Windham Slip-On Flat,,19.99,flats
17,Women's Spark Minna Ballet Flat,Vionic,29.99,flats
18,Sport Women's Breathe Easy Lovestory Mary Jane Flat,,38.58,flats
19,Women's Classic Renaissance Sneaker,,45.72,flats
20,Women's Donna Hemp Flat,,32.97,flats
21,BOBS from Women's Plush Fashion Slip-On Flat,,20.79,flats
22,Women's Cheyn Madi Loafer,,29.99,flats
23,Women's Keli Professional Shoe,,34.99,flats
24,Women's Wildflower Too Mary Jane Flat,,13.81,flats
25,Women's Chaste Ballet Flat Lambskin Loafers Casual Ladies Shoes Leather,Xielong,12.99,flats
26,Women's Sole-Fina Solid Plain Ballet Flats Shoes,DREAM PAIRS,13.99,flats
27,Women's Marley Sneaker,,23.45,flats
28,Shoes 18 Womens Classic Round Toe Ballerina Ballet Flat Shoes,Shoes8teen,6.99,flats
29,Angie-28 Women's Classic Pointy Toe Ballet Flat Shoes,Bella Marie,9.0,flats
30,Angie-53 Women's Classic Pointy Toe Ballet Slip On Flats Shoes,Bella Marie,9.0,flats
31,Women's Paloma Flat,,34.95,flats
32,Women's Chaste Ballet Flat,,31.96,flats
33,unisex-adult 8053 5 Eye Padded Collar Boot,,59.19,flats
34,Women's Pair O Dice Flat,,11.08,flats
35,BOBS from Women's Highlights Flexpadrille Wedge,,19.95,flats
36,Women's Isabella Jelly Flat,,13.2,flats
37,Performance Women's Go Step Lite-Solace Walking Shoe,,19.99,flats
38,Women's Bikers -Fiesta Mary Jane Flat,,26.05,flats
39,Sole Classic Fancy Women's Casual Pointed Toe Ballet Comfort Soft Slip On Flats Shoes,DREAM PAIRS,10.99,flats
40,Old Skool Unisex Adults' Low-Top Trainers,,28.98,flats
41,Women's Lina Ballet Flat,,16.97,flats
42,Kimmy-21 Women's Round Toe Pierced Mid Heel Mary Jane Style Dress Pumps,Chase & Chloe,17.89,flats
43,Women's Cleo Bewitch Ballet Flat,,32.97,flats
44,BOBS from Women's Chill Luxe Flat,,21.66,flats
45,Women's Sole_Vogue Flats Shoes,DREAM PAIRS,17.99,flats
46,Women's Fawna Mary Jane Flat,,77.89,flats
47,BOBS Women's Plush-Wag Party Flat,,25.49,flats
48,BOBS Women's Plush-Wag Party Flat,,25.49,flats
49,Sport Women's EZ Flex Flighty Majesty Slip-on Flat,,15.51,flats
50,Women's Wide Width Flat Shoes - Comfortable Slip On Round Toe Ballet Flats,Luoika,26.99,flats
51,Women's Sole-Flex Ballerina Walking Flats Shoes,DREAM PAIRS,12.99,flats
52,Women's Fiesta Flat,Flojos,16.86,flats
53,Women's Foldable Portable Travel Ballet Flat Roll Up Slipper Shoes,Silky Toes,9.99,flats
54,"Kids' 10009918 Alpargata - K,",TOMS,13.99,flats
55,Women's Felicia Ballet Flat,,34.99,flats
56,Women's Claire Scrunch Flat,dexflex Comfort,29.99,flats
57,Women's Bird Nest Jelly Ballet Flats (up to 50% Off),Kunsto,9.99,flats
58,Women's Classic II Penny Loafer,,41.59,flats
59,Women's Diamond Jutti Pointed Toe Flat,TOMS,49.35,flats
60,Propet Women's TravelActiv Mary Jane Fashion Sneaker,,16.8,flats
61,New Balance Women's W840V3 Running Shoe,,64.99,flats
62,Dr. Scholl's Women's Really Flat,Dr. Scholl's Shoes,32.99,flats
63,Dr. Scholl's Women's Sand Patent Flat Shoes - 9 C/D US,Dr. Scholl's Shoes,65.0,flats
64,Dr. Scholl's Women's Black Patent Flat Shoes - 9 C/D US,Dr. Scholl's Shoes,39.95,flats
65,Women's Rodney Ballet Flat,,30.02,flats
66,"Women's Kinzie Light Loafer Flat,",,29.98,flats
67,Women's Citilane Roka Court Sneaker,,21.32,flats
68,"Women's Keesha Rosa Dress Pump,",,33.1,flats
69,Womens Ennore,,34.99,flats
70,Women's Angel II Pump,,12.47,flats
71,Women's Cally Faux Fur Slipper,,36.95,flats
72,Women's Wide Width Flat Shoes - Comfortable Slip On Round Toe Ballet Flats,Luoika,19.99,flats
73,Women's Knotted Front Canvas Round Toe Ballet Flats,Charles Albert,9.88,flats
74,Women's Knotted Front Loafer Leather Round Toe Ballet Flats,Charles Albert,13.88,flats
75,Ultimate 81 Fashion Sneaker,,28.01,flats
76,Women's Go Walk Lite Ballet Flat,,13.07,flats
77,Women's Mandalaye Ballet Flat,,22.93,flats
78,Womens D'Orsay Pointy Toe Ankle Strap Buckle Comfort Ballerina Ballet Flats Shoes,Meeshine,19.99,flats
79,Womens Pehuea Slip on,,47.98,flats
80,Women's Kilty Suede Moccasin,,29.99,flats
81,Women's Blanche West Flat,,43.77,flats
82,BOBS Women's Bobs Plush-Dream Doodle Ballet Flat,,19.99,flats
83,Women's Reggae Fest Willows Flat,,31.99,flats
84,Women's Shoes Faux Suede Slip on Comfort Light Pointed Toe Ballet Flat,Ollio,24.99,flats
85,Women's Swiftwater Wave Sandal,,16.0,flats
86,Women's Bocca Loafer,,34.38,flats
87,Womens Foldable Soft Pointed Toe Ballet Flats Rhinestone Comfort Slip on Flat Shoes,Meeshine,15.99,flats
88,Women Ballet Flats Classy Girls Simple Casual Slip-on Comfort Walking Shoes from Merence,,14.91,flats
89,"Women Ballet Flats Classy Girls Simple Casual Slip-on Comfort Walking Shoes,VPDA1，BlackPu,234",,21.99,flats
90,UGG Men's Scuff Slipper,SoftWalk,79.95,flats
91,Women's Spark Caroll Ballet Flat,Vionic,99.89,flats
92,Women's Abigail Ballet Flat,,17.79,flats
93,Shoes 18 Women's Foldable Portable Travel Ballet Flat Shoes w/Matching Carrying Case,Shoes8teen,8.99,flats
94,Women's Brittany Ballet Flat,,29.93,flats
95,Women's Tali Bow Ballet Flat,,63.0,flats
96,"Women's, Kristen Slip on Flats",,114.95,flats
97,Performance Women's On-The-Go Flagship Slip-On Boat Shoe,,18.88,flats
98,Women's Wide Width Flat Shoes - Comfortable Slip On Round Toe Ballet Flats,Luoika,19.99,flats
99,Women's KSO Evo Cross Training Shoe,,42.95,flats
100,Women's Samara 2.0 Ballet Flat,,44.68,flats
101,Women's Ballet Comfort Light Faux Suede Multi Color Shoe Flat,Ollio,24.99,flats
102,Dr. Scholl's Women's Friendly Ballet Flat,Dr. Scholl's Shoes,24.99,flats
103,Women's Keesha Luca Slip-On Loafer,,39.98,flats
104,Women's Sole_Stretchy Fashion Elastic Ankle Straps Flats Shoes,DREAM PAIRS,15.99,flats
105,Women's Sole-Strappy Ankle Straps Flats Shoes,DREAM PAIRS,11.99,flats
106,Women's Florence Ballet Flat,,48.24,flats
107,Women's Hazel Flat,,49.95,flats
108,Women's Sienna MJ Canvas Shoe,,49.96,flats
109,Women's Sole_Elle Fashion Low Stacked Slip On Flats Shoes,DREAM PAIRS,15.99,flats
110,"Women's Jutti Ballet Flat,",TOMS,84.95,flats
111,Dr. Scholl's Women's Frankie Ballet Flat,Dr. Scholl's Shoes,24.95,flats
112,Women's Mandayss Ballet Flat,,13.58,flats
113,Women's Caroline String Tie Flat,dexflex Comfort,24.99,flats
114,Women's Jocolin Vista Boat Shoe,,39.97,flats
115,Women's Wide Width Ballet Flat - Comfortable Sandals Slip On Pointed Toe Summer Casual Shoes.,Aukusor,27.99,flats
116,Women's Loralie Mary Jane Flat,,104.24,flats
117,Women Shoes Cut Out Slip On Synthetic Lace Ballet Flats,Greatonu,13.99,flats
118,Women's Jessica Flat,,64.99,flats
119,Women's Pierina Ballet Flats,,11.99,flats
120,Flats Shoes Women– Slip-on Ballet Comfort Walking Classic Round Toe Shoes,CINAK,17.99,flats
121,Women's Aliza Flat,,14.99,flats
122,Women's Dories Flats Shoes Low Wedge Heel Peep Toe,DREAM PAIRS,10.99,flats
123,Women's P-Heaven,,14.92,flats
124,Womens Foldable Bow Slip On Ballet Flats Dress Shoes,Meeshine,17.99,flats
125,Women's Sole-Nice Ankle Strap Walking Flats Shoes,DREAM PAIRS,13.99,flats
126,Lucky Women's Emmie Ballet Flat,,17.63,flats
127,Women's Neenah Garden Ballet Flat,,24.9,flats
128,Women's Sb-Leah Ballet Flat,Blue by Betsey Johnson,26.7,flats
129,Women's Dream Slip-On,Airwalk,24.99,flats
130,Women's Carson Ballet Flat,,51.53,flats
131,"Thea Women Ballet Flat,",,20.93,flats
132,Women's Dig Flat,,21.0,flats
133,Women's Gracelin Mara Flat,,41.99,flats
134,Women's Ballet Shoe Cute Casual Comfort Flat,Ollio,24.99,flats
135,Women's Kadee Slingback Flat,,20.62,flats
136,BOBS Women's Plush-Peace and Love Ballet Flat,,23.27,flats
137,Women's Pointy Toe Flats D'Orsay Buckle Ankle Strap Casual Comfort Ballerina Ballet Flat Shoes,,13.99,flats
138,Women's Vega Mesh Ballet Flat,,29.06,flats
139,Women's Missy Mary Jane Flat,,84.82,flats
140,Women's Ballet Shoe Floral Lace Breathable Flat,Ollio,25.99,flats
141,Footwear Indoor Slipper Yoga Sock Shoes Comfort Water Shoes for Men Women,VIFUUR,6.99,flats
142,Laurel Womens Pointed Toe Ankle Wrap D'Orsay Dress Flats,Mila Lady,17.44,flats
143,Women's Champion Original Leather Slip-On Sneaker,,22.99,flats
144,Women Flat Shoes Comfortable Slip On Pointed Toe Ballet Flats,Dear Time,7.97,flats
145,Women Flat Shoes Comfortable Slip on Pointed Toe Ballet Flats US 4,Dear Time,7.97,flats
146,Womens Water Shoes House Office Shoes Mens Quick Drying Barefoot Footwear Aqua Sock,Centipede Demon,7.99,flats
147,Women's Wide Width Flat Shoes - Elastic Cross Straps Slip On Round Toe Ballet Flats.,Luoika,29.99,flats
148,Women's Wildflower Mary Jane Flat,,28.0,flats
149,BOBS from Women's Luxe Fashion Slip-On Flat,,23.98,flats
150,Women's Blossom Encore Mary Jane Flat,,39.97,flats
151,Womens Shoe Ballet Light Faux Suede Low Heels Flat,Ollio,24.99,flats
152,"Women's Cleo - Ray of Sunshine - Engineered Knit Skimmer Ballet Flat,",,39.99,flats
153,Women's Everlay Kennon Mary Jane Flat,,45.68,flats
154,Women's Samantha Pointed Toe Flat,,37.31,flats
155,"Women's, Samantha Flats",,79.95,flats
156,Women's Samantha Black Lthrsuede W,,67.84,flats
157,Chase and Chloe Kimmy-21 Mary Jane Teardrop Cutout T-Strap Pump Heel,Chase & Chloe,9.99,flats
158,Women's Bluma Slip On Ballerina Flat,,41.27,flats
159,Women's Bellarina Shoes Half Toe Grip Non-Slip for Ballet Yoga Pilates Barre,Barerun,12.99,flats
160,"Women's Aria Closed, Round Toe Ballet Flat Slip On Shoes",,12.99,flats
161,Women's Revona Low Wedge Ankle Strap Flats Shoes,DREAM PAIRS,12.99,flats
162,"Women's Naree3 Ballet Flat,",,25.3,flats
163,Chocolaticas Notebook Women's Mary Jane Flat,Hot Chocolate Design,48.99,flats
164,Women's Wildflower Encore Mary Jane Flat,,22.48,flats
165,Women's CloudSteppers Sillian Jetay Flat,,17.69,flats
166,Women's Danelly Adira Ballet Flat,,59.78,flats
167,Studded Strappy Ballerina Leather Flats,Kaitlyn Pan,109.0,flats
168,"Women's Gracelin Lola Ballet Flat,",,49.95,flats
169,Women's Belle Mary Jane Flat,,36.49,flats
170,Womens Classic Pointy Toe Ballet Slip On - Casual Comfortable Flats,Guilty Shoes,6.99,flats
171,Women's Jilian Low Wedge Flats Shoes,DREAM PAIRS,12.99,flats
172,Women's Close Round Toe Low Wedge Glitter Rhinestone Comfort,OLIVIA K,17.99,flats
173,Women's Diverse Flat,,14.99,flats
174,Unstructured Women's Un.Loop Slip-On Shoe,,36.9,flats
175,Chocolaticas Habana Women's Mary Jane Flat,Hot Chocolate Design,48.99,flats
176,Women's Giorgie Flat,Dr. Scholl's Shoes,15.76,flats
177,Women's Flurry Moc,Airwalk,29.99,flats
178,Women's Ballet Flat D'Orsay Comfort Light Pointed Toe Slip On Casual Shoes,ShoBeautiful,14.79,flats
179,Womens Square Toe Bowknot Ballet Comfort Slip on Flats Shoes,Meeshine,15.99,flats
180,"Women's Riley Pointed Toe, D'Orsay Open Side Flat",,19.99,flats
181,Women’s Eve Slingback Ballet Flat,,19.38,flats
182,Flapointed Women's Casual D'Orsay Pointed Plain Ballet Comfort Soft Slip On Flats Shoes New,DREAM PAIRS,12.99,flats
183,Women's Core Canvas Classics,TOMS,38.38,flats
184,Women's Sole-Fina-Straps Ankle Straps Ballet Flats Shoes,DREAM PAIRS,11.04,flats
185,Women's Fiona Flat,,29.96,flats
186,"Women's Fiona Flat (6 B(M) US, Natural 2)",,69.95,flats
187,Women's Hazel Dress Pump,,39.99,flats
188,Foldable Travel Portable Flat Comfort Shoes with Pouch,Silky Toes,12.99,flats
189,Women's Microburst Topnotch Sneaker,,34.27,flats
190,Women's Mugara Ballet Flat,,22.95,flats
191,Women's Cotton Mary Jane Shoes Ballerina Ballet Flats Shoes,Easy USA,7.99,flats
192,H95 Women's Uberknit™ Slip-On Ballerinas,,53.86,flats
193,Women's Bree Pleated Flat,Lower East Side,24.99,flats
194,Womens Odette,,47.99,flats
195,Womens Chelsea Cap Toe Slide Flats,,39.99,flats
196,Forever Women's Diana-81 Ballet Loafer-Flats Shoes,Forever Link,12.98,flats
197,Women's Wide Casual Flat Shoes - Comfortable Classic Pointy Toe Slip On Basic Ballet Flat.,Aukusor,29.99,flats
198,Women's Emmie Ballet Flat,,19.95,flats
199,Women's Medora Nina Flat,,30.4,flats
