,product_name,seller,price,category
0,Womens and Mens Kids Water Shoes Barefoot Quick-Dry Aqua Socks for Beach Swim Surf Yoga Exercise,WateLves,7.99,outdoor shoes
1,Mens Womens Water Shoes Quick Dry Barefoot for Swim Diving Surf Aqua Sports Pool Beach Walking Yoga,Putu,21.99,outdoor shoes
2,Water Sports Shoes Barefoot Quick-Dry Aqua Yoga Socks Slip-on for Men Women Kids,VIFUUR,8.99,outdoor shoes
3,Men's Newport H2 Sandal,,59.98,outdoor shoes
4,Women's GEL-Venture 5 Running Shoe,,41.98,outdoor shoes
5,Womens and Mens Summer Outdoor Water Shoes Aqua Socks for Beach Swim Surf Yoga Exercise,JIASUQI,8.45,outdoor shoes
6,Women's Quick Drying Aqua Water Shoes,Zhuanglin,19.99,outdoor shoes
7,Women's Siren Edge Hiker,,59.29,outdoor shoes
8,Women's Olowahu Flip-Flop,,12.63,outdoor shoes
9,Women's Tirra Athletic Sandal,,49.5,outdoor shoes
10,Barefoot Quick-Dry Water Sports Shoes Aqua Socks for Swim Beach Pool Surf Yoga for Women Men,Barerun,8.99,outdoor shoes
11,Women's Quick Drying Aqua Water Shoes,ALEADER,21.99,outdoor shoes
12,Women's Mesh Slip on Water Shoes,ALEADER,19.99,outdoor shoes
13,Women's Whisper Sandal,,28.87,outdoor shoes
14,Women's Newton Ridge Plus Waterproof Amped Hiking Boot,,68.0,outdoor shoes
15,Women's Speedcross 4,,84.0,outdoor shoes
16,Women's Water Shoes Athletic Sport Lightweight Walking Shoes,Dreamcity,29.99,outdoor shoes
17,Women's Rose Sandal,,33.82,outdoor shoes
18,Women’s Swiftwater Sandal,,18.69,outdoor shoes
19,"Women's Waterproof Rain and Garden Shoe with Comfort Insole, Midsummer Black, Size 9 Style 5102BK09",,28.98,outdoor shoes
20,Women's Mush II Flip-Flop,,12.48,outdoor shoes
21,Women's Newport H2 Sandal,,54.98,outdoor shoes
22,Unisex Ooahh Slide Sandal,OOFOS,49.95,outdoor shoes
23,Women's Lightweight Water Shoes Men's Soft Quick-Dry Aqua Socks Beach Swimming Surf Yoga,norocos,7.99,outdoor shoes
24,Women's ZX2 Classic Athletic Sandal,,63.76,outdoor shoes
25,Women's Newton Ridge Plus Hiking Boot,,44.99,outdoor shoes
26,Water Shoes for Womens and Mens Summer Barefoot Shoes Quick Dry Aqua Socks for Beach Swim Yoga Exercise,WateLves,7.99,outdoor shoes
27,Men Women Water Shoes Quick Dry Barefoot Aqua Socks Swim Shoes Pool Beach Walking Running,MOERDENG,16.99,outdoor shoes
28,Women's Z2 Classic Athletic Sandal,,71.88,outdoor shoes
29,Women's Yucatan Sandal,,56.61,outdoor shoes
30,"Women's On-The-go 600 - Brilliancy Sport Sandal,",,23.79,outdoor shoes
31,Women's Adilette CF+ Logo W Slide Sandal,,24.73,outdoor shoes
32,Water Sports Shoes for Women Men Quick Dry Aqua Socks Swim Barefoot Beach Swim Shoes,Heeta,7.99,outdoor shoes
33,Women's Men's Kid Summer Water Shoes Barefoot Shoe Quick Dry Aqua Socks Yoga,JOINFREE,8.99,outdoor shoes
34,Women's Original Universal Sandal,,32.47,outdoor shoes
35,adidas Men's Adilette Slide Sandal,,21.51,outdoor shoes
36,Barefoot Shoes Water Sports Shoes Quick-Dry Aqua Yoga Socks for Women Men Kids,Bopika,5.09,outdoor shoes
37,Men's Sports Sandals Trail Outdoor Water Shoes 3Layer Toecap M108/M107/M106,ATIKA,19.98,outdoor shoes
38,Water Shoes Men Women Aqua Shoes Barefoot Quick-Dry Swim Shoes Boating Walking Driving Beach Yoga,,7.99,outdoor shoes
39,Women's Minx Mid II Omni-Heat Winter Boot,,44.19,outdoor shoes
40,Mens Womens Water Shoes Barefoot Beach Pool Shoes Quick-Dry Aqua Yoga Socks for Surf Swim Water Sport,NING MENG,8.99,outdoor shoes
41,Women's Adissage W Slide Sandal,,22.46,outdoor shoes
42,Women's Zx2 Classic Athletic Sandal,,66.14,outdoor shoes
43,Women's Moab 2 Mid Waterproof Hiking Boot,,110.42,outdoor shoes
44,"Women's Moab 2 Vent Hiking Shoe,",,68.69,outdoor shoes
45,Women's Short Rain Boots Waterproof Slip On Ankel Chelsea Booties,Asgard,14.99,outdoor shoes
46,Women's Benassi Just Do It Synthetic Sandal,,18.75,outdoor shoes
47,Women's Ignite VIII Slide Sandal,,10.28,outdoor shoes
