,product_name,seller,price,category
0,Chuck Taylor All Star Core Ox,,38.58,oxford shoes
1,Women's Champion Original Canvas Sneaker,,23.7,oxford shoes
2,Sport Women's Empire Fashion Sneaker,,31.95,oxford shoes
3,Women's Play Fashion Sneaker,,22.64,oxford shoes
4,Women's Bluefish Boat Shoe,,49.99,oxford shoes
5,Merino Wool Lightweight Unisex Shoes by,Le Mouton,95.0,oxford shoes
6,Women's Padmora Oxford,,48.58,oxford shoes
7,Women's Citilane Roka Court Sneaker,,21.32,oxford shoes
8,Women's Saddle Oxford,Predictions,29.99,oxford shoes
9,Womens PU Leather Oxfords Brogue Wingtip Lace up Chunky High Heel Shoes Dress Pumps Oxfords,Odema,23.99,oxford shoes
10,Women's Chillax Washed Laceless Slip-On Sneaker,,14.95,oxford shoes
11,Women's Shoe Classic Lace up Dress Low Flat Heel Oxford,Ollio,25.99,oxford shoes
12,Women's Everlay Iris Flat,,54.6,oxford shoes
13,Women's Perforated Lace-up Wingtip Leather Flat Oxfords Vintage Oxford Shoes Brogues,U-lite,39.99,oxford shoes
14,Womens F-Sporty Uberknit Sneakers,,45.78,oxford shoes
15,Women's Parties-Mate Oxford Shoes,,29.33,oxford shoes
16,Women's Cabrillo Casual Shoe,TOMS,48.75,oxford shoes
17,Women's Sadie Oxford,,50.93,oxford shoes
18,Women's Platform Lace-up Wingtips Square Toe Oxfords Shoe,DADAWEN,29.99,oxford shoes
19,Women's Songfish Chambray Boat Shoe,,44.98,oxford shoes
20,Women's Vee K Shawn Chukka Boot,,26.95,oxford shoes
21,Women's Classic T-Strap Platform Mid-Heel Square Toe Oxfords Dress Shoes,DADAWEN,29.99,oxford shoes
22,Women's 1460,,60.99,oxford shoes
23,Womens Classic Retro Two Tone Embroidery - Wing Tip Lace Up Kitten Heel Oxford Pumps,Guilty Shoes,14.99,oxford shoes
24,Women's Grandpro Tennis Leather Lace OX Fashion Sneaker,,33.41,oxford shoes
25,AP1 Sport Walking Shoe,,10.15,oxford shoes
26,Women's Belle Mary Jane Flat,,36.49,oxford shoes
27,Women's Kickstart Leather Fashion Sneaker,,24.95,oxford shoes
28,Women's Plainview,,45.66,oxford shoes
29,unisex-adult 1461 3 Eye Shoe,,82.89,oxford shoes
30,Womens Syra,Vionic,59.5,oxford shoes
31,Women's Microburst Topnotch Sneaker,,34.27,oxford shoes
32,Women's Deia Fashion Boot,TOMS,20.0,oxford shoes
33,"Women's Ghenter Srelt Work Shoe,",,32.99,oxford shoes
34,Women's Motion Lace up Oxford,,23.13,oxford shoes
35,Women's Flats Shoes Wingtip Lace up Oxfords,Ollio,27.99,oxford shoes
36,Women's Stitchlite Oxford,,34.16,oxford shoes
37,Women's Fall New Flat Flower Pattern Shoes,Mordenmiss,24.99,oxford shoes
38,Women's Wing Tip Saddle Lace up Platform Oxford Flats - Trendy Flatform Shoes,RF ROOM OF FASHION,9.5,oxford shoes
39,Women's 8065 Mary Jane,,70.45,oxford shoes
40,Women's Louise Oxford,,67.21,oxford shoes
41,Women's Janey Mae Oxford,,49.95,oxford shoes
42,Women's Zerogrand Stitchlite Oxford,,75.0,oxford shoes
43,Women's Perforated Lace-up Wingtip Flat Oxfords Vintage Oxford Shoes Brogues,Meeshine,29.99,oxford shoes
44,Upper Class 7300 Saddle Shoe (Toddler/Little Kid/Big Kid),School Issue,21.13,oxford shoes
45,Women's Leather Perforated Lace-up Oxfords Shoes for Women Wingtip Multicolor Brougue Shoes,Mona Flying,89.0,oxford shoes
46,Women's Ballet Shoe Flat Enamel Pointed Toe Oxford,Ollio,25.99,oxford shoes
47,Women's Siesta Lace up Comfort Shoe,SAS,49.99,oxford shoes
48,Women's Leather Perforated Lace-up Oxfords Shoes for Women Wingtip Multicolor Brougue Shoes,Mona Flying,89.0,oxford shoes
49,Women's Ballet Shoe Flat Enamel Pointed Toe Oxford,Ollio,25.99,oxford shoes
50,Women's Siesta Lace up Comfort Shoe,SAS,49.99,oxford shoes
51,Women's Del Rey Sneaker,TOMS,29.26,oxford shoes
52,Women's Samina Gladiator Sandal,BareTraps,54.99,oxford shoes
53,Unisex 1461 Vegan 3 Eye Shoe Boot,,78.0,oxford shoes
54,Women's Louise Oxford,,89.99,oxford shoes
55,Women's Platform Lace-Up Wingtips Square Toe Oxfords Shoe,YING LAN,16.99,oxford shoes
56,Women's Kensett Darla Oxford,,32.03,oxford shoes
57,Sport Women's Gratis Bungee Fashion Sneaker,,25.1,oxford shoes
58,Women's Everlay Elma Oxford,,49.97,oxford shoes
59,Women's Leather Perforated Lace-up Oxfords Shoes for Women Wingtip Multicolor Brougue Shoes,Mona Flying,89.0,oxford shoes
60,Women's Zerogrand Wing-Tip Oxford,,51.74,oxford shoes
61,Rockport Women's Paulette Flat,Cobb Hill,44.99,oxford shoes
62,Women's Ls,,61.33,oxford shoes
63,Women's Perforated Lace-up Wingtip Multicolor Leather Flat Oxfords Vintage Oxford Shoes,U-lite,69.99,oxford shoes
64,Unisex 1461 Oxford,,45.56,oxford shoes
65,Women's Perforated Lace-up Wingtip Pure Color Leather Flat Oxfords Vintage Oxford Shoes,U-lite,69.99,oxford shoes
66,"Men's 3"" Heel Pimp Shoe. Mens.",,33.44,oxford shoes
67,Women's 2.Zerogrand Stitchlite OX Oxford,,50.0,oxford shoes
68,"Women's Raisie Bloom Oxford,",,44.54,oxford shoes
69,Women's London-01 Cutout Heeled Oxford,Refresh,17.64,oxford shoes
70,Propet Women's Washable Walker Sneaker,,13.98,oxford shoes
71,Propet Women's Travelactiv Mary Jane Oxford,,38.49,oxford shoes
72,Women's Shoe Classic Lace Up Dress Low Flat Heel Oxford,Ollio,25.99,oxford shoes
73,Women's Jumpin Weekend Canvas Fashion Sneaker,,13.99,oxford shoes
74,Women's Cadence Oxford,,52.46,oxford shoes
75,Women's Flat Shoe Wingtip Lace up Two Tone Oxford,Ollio,27.99,oxford shoes
76,Women's Oxford Patent Faux Leather Dress Shoes,OUOUVALLEY,15.99,oxford shoes
77,Women's Leather Perforated Lace-up Oxfords Shoes for Women Wingtip Multicolor Brougue Shoes,Mona Flying,89.0,oxford shoes
78,Womens Essa,,29.99,oxford shoes
79,Women's PTC Oxford Work Shoe,,93.93,oxford shoes
80,Womens Amberlee Rosa Sneaker,,47.97,oxford shoes
81,Chuck Taylor All Star 2018 Seasonal Low Top Sneaker,,20.81,oxford shoes
82,"Women's Blakely Oxford Flat,",,61.01,oxford shoes
83,"Women's Blakely Oxford Flat,",,69.95,oxford shoes
84,Women's Essence,,29.98,oxford shoes
85,Women's Varsity,School Issue,51.09,oxford shoes
86,Women Classic Flat Shoe Lace Up Faux Suede Oxford,Ollio,27.99,oxford shoes
87,Women's Flat Shoe Wingtip Lace up Faux Nubuck Oxford,Ollio,27.99,oxford shoes
88,Womens Scramble,,39.99,oxford shoes
89,Women's 1461 W Three-Eye Oxford Shoe,,87.93,oxford shoes
90,Women's Sina 78 Pump,,73.0,oxford shoes
91,Women's Devitt Oxford Flat,,18.67,oxford shoes
92,Women's 1461 Oxford,,59.62,oxford shoes
93,Women's Wallabee Boot,,119.95,oxford shoes
94,Women's Leather Perforated Lace-up Oxfords Shoes Women Wingtip Multicolor Brougue Shoes,Mona Flying,89.0,oxford shoes
95,Men's Keith Lace up,,69.55,oxford shoes
96,Women's Perforated Lace-up Wingtip Leather Flat Oxfords Vintage Oxford Shoes Brogues,U-lite,89.99,oxford shoes
97,Women's Grand Jams Cardinal Sneaker,,19.98,oxford shoes
98,Women's Emma Flat,,62.98,oxford shoes
99,Womens Zarayy,,39.96,oxford shoes
100,Womens Zelia,,32.99,oxford shoes
101,Women's Tangerine Oxford Flat,,74.95,oxford shoes
102,Propet Women's Olivia Oxford,,40.74,oxford shoes
103,Women's Alexis Oxford,,62.96,oxford shoes
104,Women's 2.Zerogrand Laser Wing Oxford,,48.97,oxford shoes
105,Women's Funny Dream Oxford,,99.98,oxford shoes
106,Women's Teadale Rhea Oxford,,54.95,oxford shoes
107,"Women's SAS, Liberty Lace up Shoes BLACK",SAS,124.99,oxford shoes
108,Women's Lace up Wingtip Oxford Shoes Classic Fashion Patent Leather Chunky Heel Bootie,Mostrin,18.99,oxford shoes
109,Women's Cheyn Ava Oxford,,37.16,oxford shoes
110,Women's Ayva Oxford,,23.99,oxford shoes
111,Women's Casual Peep Toe Ankle Strap Sandals - Cute Summer Espadrilles High Platforms - Comfort Wedges Saldals,MVE Shoes,19.99,oxford shoes
112,Women's Jazzin Ryker Cotton Fashion Sneaker,,24.99,oxford shoes
113,Women's Chinese Embroidery Casual Mary Jane Travel Walking Shoes,AvaCostume,18.99,oxford shoes
114,Men's Mexico 66 Fashion Sneaker,,49.99,oxford shoes
115,Women's Round Toe Patent Leather Slip On Shoes Sweet Bow Mid Heel Oxfords Loafers Shoes,Susanny,9.99,oxford shoes
116,Women's Tilmont Ivy Oxford,,49.74,oxford shoes
117,Women's Abilene Boot,Cobb Hill,52.0,oxford shoes
118,Women's Fashion Tassels Square-Toe Lace-up Platform Wedge Oxford Shoes,DADAWEN,32.99,oxford shoes
119,Women's 105-SD Oxford,,20.69,oxford shoes
120,Women Classic Modern Sweet Low Heel Lace up Carving Wingtip PU Brogue Oxfords Dress Shoes,Susanny,15.99,oxford shoes
121,"Women's 1461 RS Mallow Pink Oxford,",,86.36,oxford shoes
122,Womens Elevated Becca Wedge Lace Black Size 9 Wide,Vionic,368.0,oxford shoes
123,Men's Savoy Slip Resistant Oxford,,34.99,oxford shoes
124,Women's Camdale Oxford,,33.27,oxford shoes
125,Women's Zerogrand Hikr Boot,,62.0,oxford shoes
126,Women's Erica Oxford,,68.44,oxford shoes
127,Womens Willie Fashion Sneakers,,17.9,oxford shoes
128,Women's Total Motion Abelle Slipon Oxford,,45.99,oxford shoes
129,Women's Platform Wedges Oxfords Classic Casual Lace up Mid Heels Wingtips Square Toe Shoes,Tengyu,32.99,oxford shoes
130,"Women's 1461 RS Silver Oxford,",,73.5,oxford shoes
131,Women's 3989 Brogue Wingtip Shoe,,79.99,oxford shoes
132,Women's Anna Oxford,,89.99,oxford shoes
133,Women's Grand Tour Oxford,,67.5,oxford shoes
134,Firefish Boat Shoe,,44.99,oxford shoes
135,Women's Koifish Sparkle Crosshatch Boat Shoe,,89.93,oxford shoes
136,Shoes Women's Babe Oxford Shoe,Wanted,14.99,oxford shoes
137,Women's 1461 Virginia Oxford,,51.88,oxford shoes
138,"Women's Tangerine- Wide Oxford Flat,",,80.03,oxford shoes
139,Women's Frankie Oxford Flat,Shellys London,23.19,oxford shoes
140,Women's Cork Sole Platform Wedge Lace up Oxford Shoe,,20.95,oxford shoes
141,Women's Sharon Noel Oxford,,95.0,oxford shoes
142,Braga,Earthies,24.95,oxford shoes
143,Women's Classical Leather Wing-up Brogues Flat Lace-up Oxford Shoes,LaRosa,44.99,oxford shoes
144,Women's Loretta Oxford,,47.99,oxford shoes
