,product_name,seller,price,category
0,Women's Carrson Dress Sandal,,34.07,pumps
1,Women's Gayle Pump,,40.17,pumps
2,Women's Michelle Dress Pump,,22.99,pumps
3,Women's Lowpointed Low Heel Dress Pump Shoes,DREAM PAIRS,21.99,pumps
4,Women's Total Motion 75mm Pointy Pump,,27.98,pumps
5,Comfort Plus Women's Karmen Pump,Predictions,15.0,pumps
6,"Women's Strappy Chunky Block High Heel - Formal, Wedding, Party Simple Classic Pump",Premier Standard,18.5,pumps
7,Women's Patti Dress Sandal,,39.99,pumps
8,LUVLY Women's Bridal Wedding Party Low Heel Pump Shoes,DREAM PAIRS,17.99,pumps
9,Women's Brady Dress Pump,,46.98,pumps
10,Women's Adriel Viola Dress Pump,,59.95,pumps
11,Women's Parigi Pump,,14.97,pumps
12,Rockport Women's Aubrey Dress Pump,Cobb Hill,59.03,pumps
13,Women's Vendra Bloom Wedge Pump,,34.9,pumps
14,Kimmy-21 Women's Round Toe Pierced Mid Heel Mary Jane Style Dress Pumps,Chase & Chloe,17.89,pumps
15,ARPEL/BERRY Women's Formal Evening Dance Rhinestones Classic Low Heel Pumps Shoes New,DREAM PAIRS,19.99,pumps
16,Women's Low Heel Pumps,DREAM PAIRS,25.99,pumps
17,Ankle Strap Kitten Heel - Adorable Low Block Heel - Daisy,J. Adams,21.0,pumps
18,Kimmy-36 Women's Teardrop Cut Out T-Strap Mid Heel Dress Pumps,Chase & Chloe,12.55,pumps
19,"Women's Emslie Lulin Pump,",,48.15,pumps
20,Women's SOHO9X9 Leather Pump,,51.98,pumps
21,Women's Natalie Dress Pump,,25.05,pumps
22,Women's Cash Wedge Pump,,31.91,pumps
23,Women's City_OT Fashion Stilettos Peep Toe Pumps Heels Shoes,DREAM PAIRS,24.99,pumps
24,"Women's Keesha Rosa Dress Pump,",,33.1,pumps
25,Womens Classic Pointy Toe Low Kitten Heel Office Dress Slip On Fashion Pump - 22 Colors,Guilty Shoes,11.91,pumps
26,Women's Wedge Open Toe Strap Chunky Heel Sandal Fashion Shoes,,23.99,pumps
27,Women's Angel II Pump,,12.47,pumps
28,Oppointed-Ankle Women's Pointed Toe Ankle Strap D'Orsay High Heel Stiletto Pumps Shoes.,DREAM PAIRS,17.99,pumps
29,Womens Slingback Dress Pump,Greatonu,17.99,pumps
30,Women's Marcie Wedge Pump,,21.51,pumps
31,Women's Oppointed-Mary Pump Shoe,DREAM PAIRS,24.99,pumps
32,Link Women's DORIS-22 Patent Round Toe Wedge Pumps,Forever,11.99,pumps
33,Womens PU Leather Oxfords Brogue Wingtip Lace up Chunky High Heel Shoes Dress Pumps Oxfords,Odema,23.99,pumps
34,Women's Emslie Warbler Pump,,43.28,pumps
35,Women's Habit Pointed Pump,Christian Siriano for Payless,10.0,pumps
36,Women's Eliana Mule,,19.99,pumps
37,Women's Daisie Dress Pump,,44.99,pumps
38,Women's Daisie Crystal Dress Closed 9.0 US,,99.95,pumps
39,Women's Boni7 Dress Pump,,47.33,pumps
40,Women's Comfortable Fashion Low Heels Round Toe Wedge Pumps Shoes,,18.99,pumps
41,"Women's Katy Pointed, Closed Toe Low, Kitten Heel Pumps",,16.99,pumps
42,Women's Oppointed-Lacey Pump Shoe,DREAM PAIRS,24.99,pumps
43,Women's Nima Wedge Pump,,20.23,pumps
44,Women's Seamless Dress Pump,,22.48,pumps
45,"Women's Gaby Pointed, Closed Toe Stiletto Pump Heels",,16.99,pumps
46,Women's Sadie Wedge 40MM Pump,,65.95,pumps
47,Women's Ankle Strap Platform Pump Party Dress High Heel,OCHENTA,23.99,pumps
48,Women's Seamless Dress Pump,,22.48,pumps
49,Women's Marcelle Clog,,116.73,pumps
50,"Women's Gaby Pointed, Closed Toe Stiletto Pump Heels",,16.99,pumps
51,Women's Sadie Wedge 40MM Pump,,65.95,pumps
52,Women's Ankle Strap Platform Pump Party Dress High Heel,OCHENTA,23.99,pumps
