,product_name,seller,price,category
0,Women's Mayari Black Birko-Flor Sandal 38 N (US Women's 7-7.5),Birkenstock,85.2,sandals
1,Women's Mayari Mocha Birkibuc Sandal 38 N (US Women's 7-7.5),Birkenstock,116.85,sandals
2,Women's Mayari Tobacco Oiled Leather Sandal 38 (US Women's 7-7.5),Birkenstock,125.0,sandals
3,Women's Mayari Tobacco Oiled Leather Sandal 39 (US Women's 8-8.5),Birkenstock,125.0,sandals
4,Women's Mayari Black Birko-Flor Sandal 39 N (US Women's 8-8.5),Birkenstock,93.55,sandals
5,Women's Mayari Tobacco Oiled Leather Sandal 40 (US Women's 9-9.5),Birkenstock,125.0,sandals
6,Women's Mayari Mocha Birkibuc Sandal 39 N (US Women's 8-8.5),Birkenstock,116.85,sandals
7,Women's Mayari Mocha Birkibuc Sandal 40 N (US Women's 9-9.5),Birkenstock,116.85,sandals
8,Women's Mayari Black Birko-Flor Sandal 40 N (US Women's 9-9.5),Birkenstock,99.45,sandals
9,Women's Mayari Black Birko-Flor Sandal 37 N (US Women's 6-6.5),Birkenstock,85.0,sandals
10,Women's Mayari Mocha Birkibuc Sandal 36 N (US Women's 5-5.5),Birkenstock,116.85,sandals
11,Women's Mayari Tobacco Oiled Leather Sandal 37 (US Women's 6-6.5),Birkenstock,125.0,sandals
12,Women's Mayari Hibiscus Birko-Flor Sandal 38 (US Women's 7-7.5),Birkenstock,74.99,sandals
13,Mayari Oiled Leather Regular Black Size EU 39 - US L8 M6,Birkenstock,89.44,sandals
14,Women's Mayari Magenta Haze Birko-Flor Sandal 38 (US Women's 7-7.5),Birkenstock,61.97,sandals
15,Women's Mayari Tobacco Oiled Leather Sandal 36 (US Women's 5-5.5),Birkenstock,125.0,sandals
16,Women's Mayari Magenta Haze Birko-Flor Sandal 40 (US Women's 9-9.5),Birkenstock,61.97,sandals
17,Women's Mayari Mocha Birkibuc Sandal 42 N (US Women's 11-11.5),Birkenstock,99.36,sandals
18,Women's Mayari Ocean Blue Birko-Flor Sandal 39 (US Women's 8-8.5),Birkenstock,74.91,sandals
19,Women's Mayari Black Birko-Flor Sandal 41 N (US Women's 10-10.5),Birkenstock,99.95,sandals
20,Women's Mayari Hibiscus Birko-Flor Sandal 39 (US Women's 8-8.5),Birkenstock,61.97,sandals
21,Women's Mayari Hibiscus Birko-Flor Sandal 37 (US Women's 6-6.5),Birkenstock,61.97,sandals
22,Mayari Oiled Leather Regular Black Size EU 36 - US L5,Birkenstock,117.3,sandals
23,Women's Mayari Ocean Blue Birko-Flor Sandal 38 (US Women's 7-7.5),Birkenstock,61.97,sandals
24,Women's Mayari Black Birko-Flor Sandal 36 N (US Women's 5-5.5),Birkenstock,99.95,sandals
25,Women's Mayari Magenta Haze Birko-Flor Sandal 37 (US Women's 6-6.5),Birkenstock,69.89,sandals
26,Mayari Oiled Leather Regular Black Size EU 40 - US L9 M7,Birkenstock,89.44,sandals
27,Women's Mayari Hibiscus Birko-Flor Sandal 41 (US Women's 10-10.5),Birkenstock,79.89,sandals
28,Women's Mayari Magenta Haze Birko-Flor Sandal 39 (US Women's 8-8.5),Birkenstock,69.89,sandals
29,Women's Mayari Hibiscus Birko-Flor Sandal 42 (US Women's 11-11.5),Birkenstock,99.95,sandals
30,Women's Mayari Mocha Birkibuc Sandal 35 N (US Women's 4-4.5),Birkenstock,99.95,sandals
31,Mayari Oiled Leather Regular Black Size EU 38 - US L7 M5,Birkenstock,89.44,sandals
32,Women's Mayari Hibiscus Birko-Flor Sandal 40 (US Women's 9-9.5),Birkenstock,61.97,sandals
33,Women's Mayari Magenta Haze Birko-Flor Sandal 41 (US Women's 10-10.5),Birkenstock,87.45,sandals
34,Women's Mayari Black Birko-Flor Sandal 42 N (US Women's 11-11.5),Birkenstock,89.6,sandals
