,product_name,seller,price,category
0,Women's Classics,TOMS,21.99,slippers
1,Women's Relax Slipper (Size 11/Dark Grey Zebra),Vionic,59.95,slippers
2,Arizona Women's Birko-Flor Sandal,Birkenstock,89.95,slippers
3,Men's Classic Canvas Slip-On,TOMS,19.99,slippers
4,"Women's Comfort Memory Foam Slippers Wool-Like Plush Fleece Lined House Shoes w/Indoor, Outdoor Anti-Skid Rubber Sole",ULTRAIDEAS,19.9,slippers
5,Shower Sandal Slippers Quick Drying Bathroom Slippers Gym Slippers Soft Sole Open Toe House Slippers,Shevalues,10.99,slippers
6,Women's Comfort Slip On Memory Foam Slippers French Terry Lining House Slippers w/Anti Slip Sole,,13.99,slippers
7,Relax - Orthaheel Orthotic Slippers,Vionic,49.95,slippers
8,Women's Terry Ballerina Slipper with Bow for Indoor/Outdoor Comfort,,12.0,slippers
9,Ohana Slipper - Women's Blueberry/Black 10,,64.95,slippers
10,Women's Spa Thong Slipper,,20.0,slippers
11,Women's Satin Ballerina with Bow and Faux Suede Sole for Comfort,,11.23,slippers
12,Women's Two-Tone Memory Foam Clog Slipper,RockDove,18.99,slippers
13,Women's Microfiber Velour Closed Back Slipper,,13.71,slippers
14,"Women’s Memory Foam Thong Slippers, Adjustable Anti-Skid Flip Flops",Wishcotton,16.85,slippers
15,Women's Scuffette II Slipper,,84.95,slippers
16,Women's Flip Flop Faux Fur Soft Slide Flat Slipper Limit,Kali Footwear,9.75,slippers
17,Unisex Garden Clogs Shoes Sandals Slippers,Amoji,15.8,slippers
18,Women's Coquette Slipper,,119.95,slippers
19,Women's Terry Slip On Clog Slipper with Memory Foam for Indoor/Outdoor Comfort,,11.23,slippers
20,Women Men Bath Slipper Anti-Slip Indoor Home House Sandal,Finleoo,6.99,slippers
21,Women’s Cute Comfy Fuzzy Knitted Memory Foam Slip On House Slippers Indoor,,18.99,slippers
22,Faux Fur Slip On Womens House Slipper with Memory Foam,,20.0,slippers
